Bird,day_group,treatment,order,cort,AMaverage_food,PMaverage_food,averageFood_perDay,AMtotal_food,PMtotal_food,wholeDay_totalFood,sex,Fat (at end),q0,q1,q2,faith_pd
Z1,2,A,CNR,0.936,3.38,3.5,6.88,27,28,55,M,5,38,22.82197123,17.67969134,8.526706353
Z1,2,C,CNR,3.547,3.4,6.6,10,17,33,50,M,5,25,11.7439988,8.58808928,3.024302722
Z1,2,N,CNR,3.415,5.4,4.6,10,27,23,50,M,5,45,16.74532609,11.82840549,9.207288078
Z1,2,R,CNR,1.238,3.5,5,8.5,21,25,46,M,5,51,21.30752607,15.4830885,9.765894329
Z11,1,A,CNR,0.936,4.22,3.25,7.47,38,26,64,M,5,15,8.928275002,6.66613624,
Z11,1,C,CNR,0.936,4.8,4.8,9.6,24,24,48,M,5,22,3.865567664,3.019544675,3.796213744
Z11,1,N,CNR,1.278,4.6,4.6,9.2,23,23,46,M,5,54,6.280351879,4.131068199,7.976021279
Z11,1,R,CNR,0.936,3,4.2,7.2,15,21,36,M,5,62,16.80997739,8.384587473,7.598086664
Z13,2,A,CNR,7.193,3.25,5.25,8.5,26,42,68,M,0,42,14.54978295,10.6423541,6.871033441
Z13,2,C,CNR,6.943,6.6,6.75,13.35,33,27,60,M,0,21,12.28908124,9.931094281,2.715848893
Z13,2,N,CNR,10.807,5.8,7,12.8,29,21,50,M,0,10,7.773232249,6.542198846,2.12473043
Z13,2,R,CNR,6.713,6,4.25,10.25,30,17,47,M,,,,,
Z16,1,A,NRC,4.032,3.13,2.13,5.25,25,17,42,F,,,,,
Z16,1,C,NRC,5.031,1.8,3.8,5.6,8,17,25,F,,,,,
Z16,1,N,NRC,1.071,1.33,3.4,4.73,16,18,34,F,,,,,
Z16,1,R,NRC,11.552,3.2,3.6,6.8,9,19,28,F,,,,,
Z17,2,A,NRC,1.201,1.63,4,5.63,13,32,45,F,,,,,
Z17,2,C,NRC,2.683,2,3.4,5.4,7,21,28,F,,,,,
Z17,2,N,NRC,1.772,1.17,4.2,5.37,12,14,26,F,,,,,
Z17,2,R,NRC,11.508,2.4,2.8,5.2,10,17,27,F,,,,,
Z18,2,A,NRC,0.936,2.25,3.13,5.38,18,25,43,M,5,31,14.30109002,11.41756681,3.578201341
Z18,2,C,NRC,1.94,4.6,3.4,8,23,23,46,M,5,18,11.60261757,10.51889126,2.430624216
Z18,2,N,NRC,2.885,3.83,4.6,8.43,23,8,31,M,5,,,,
Z18,2,R,NRC,3.374,4.6,2.67,7.27,23,17,40,M,5,33,13.86589714,10.75825987,8.175872684
Z22,1,A,CNR,0.89,1.89,2.88,4.76,17,23,40,F,,,,,
Z22,1,C,CNR,1.749,2.6,3,5.6,13,15,28,F,,,,,
Z22,1,N,CNR,1.538,3.2,3.4,6.6,16,17,33,F,,,,,
Z22,1,R,CNR,5.872,2.6,2.8,5.4,13,14,27,F,,,,,
Z23,1,A,CNR,1.145,2.5,3.13,5.63,20,25,45,F,3,,,,
Z23,1,C,CNR,4.112,2.8,4,6.8,14,20,34,F,3,13,3.618967719,2.009293243,2.195398982
Z23,1,N,CNR,8.227,2.2,3,5.2,11,15,26,F,3,48,18.3001626,12.20897874,6.857878152
