	Z1-A	Z1-C	Z1-N	Z1-R	Z11-C	Z11-N	Z11-R	Z13-A	Z13-C	Z13-N	Z18-A	Z18-C	Z18-R	Z23-C	Z23-N	Z23-R	Z26-C	Z26-N	Z26-R	Z28-A	Z28-C	Z28-N	Z28-R	Z29-A	Z29-C	Z29-N	Z29-R	Z32-A	Z32-C	Z32-N	Z32-R	Z36-A	Z36-C	Z36-N	Z36-R	Z39-A	Z39-N	Z39-R	Z4-A	Z4-C	Z4-N	Z4-R	Z40-A	Z40-C	Z40-N	Z40-R	Z43-C	Z43-N	Z43-R	Z44-A	Z44-C	Z44-N	Z45-A	Z45-C	Z45-N	Z45-R	Z46-C	Z46-N	Z46-R	Z5-A	Z5-C	Z5-N	Z5-R	Z6-A	Z6-C	Z6-N	Z6-R
Z1-A	0	0.517894737	0.47	0.429473684	0.994736842	0.977894737	0.822631579	0.444736842	0.516315789	0.516842105	0.455789474	0.503684211	0.446842105	0.750526316	0.518421053	0.448421053	0.506842105	0.689473684	0.486315789	0.509473684	0.483684211	0.481052632	0.426842105	0.964210526	0.963684211	0.554736842	0.979473684	0.794210526	0.517894737	0.722105263	0.47	0.971578947	0.500526316	0.490526316	0.951052632	0.931578947	0.998421053	0.501052632	0.791578947	0.912631579	0.822631579	0.887894737	0.522105263	1	0.655263158	0.951578947	0.851052632	0.635789474	0.450526316	0.504736842	0.581052632	0.430526316	0.939473684	0.493157895	0.787368421	0.695789474	0.955263158	0.431052632	0.686842105	0.423157895	0.713157895	0.47	0.425263158	0.431578947	0.488421053	0.601052632	0.442105263
Z1-C	0.517894737	0	0.528947368	0.552631579	0.967894737	0.865263158	0.806842105	0.495263158	0.425789474	0.541578947	0.530526316	0.541578947	0.54	0.723157895	0.427368421	0.478947368	0.384210526	0.718421053	0.481052632	0.567894737	0.526842105	0.541578947	0.541052632	0.904736842	0.968947368	0.516315789	0.782631579	0.92	0.604736842	0.640526316	0.538421053	0.768947368	0.482105263	0.505789474	0.757368421	0.946315789	0.781052632	0.583684211	0.827894737	0.916315789	0.846315789	0.699473684	0.555263158	1	0.670526316	0.880526316	0.865263158	0.788947368	0.493157895	0.541578947	0.605263158	0.535263158	0.869473684	0.543684211	0.773157895	0.723157895	0.97	0.465263158	0.524736842	0.528947368	0.647368421	0.499473684	0.515789474	0.498421053	0.531052632	0.749473684	0.484736842
Z1-N	0.47	0.528947368	0	0.476842105	0.985789474	0.967894737	0.824736842	0.337368421	0.503684211	0.322631579	0.261052632	0.257368421	0.230526316	0.761052632	0.569473684	0.226842105	0.524210526	0.706842105	0.318947368	0.560526316	0.404736842	0.223157895	0.213157895	0.971578947	0.995789474	0.606842105	0.985263158	0.912105263	0.542105263	0.756842105	0.361052632	0.985789474	0.256315789	0.396315789	0.983157895	0.944210526	0.990526316	0.567368421	0.841578947	0.906315789	0.834210526	0.914210526	0.510526316	1	0.67	0.975789474	0.867894737	0.759473684	0.337894737	0.385789474	0.645789474	0.315789474	0.951052632	0.377894737	0.779473684	0.783684211	0.985263158	0.335263158	0.7	0.261052632	0.719473684	0.403684211	0.288947368	0.417894737	0.312105263	0.72	0.306315789
Z1-R	0.429473684	0.552631579	0.476842105	0	0.994736842	0.974736842	0.822631579	0.484210526	0.533157895	0.517894737	0.468421053	0.500526316	0.474736842	0.758947368	0.581052632	0.467368421	0.520526316	0.703684211	0.495789474	0.496842105	0.490526316	0.496842105	0.474736842	0.965789474	0.785263158	0.586315789	0.832631579	0.875789474	0.522105263	0.724210526	0.497368421	0.948947368	0.496315789	0.48	0.955263158	0.943684211	1	0.578947368	0.746315789	0.892631579	0.800526316	0.88	0.519473684	1	0.662631579	0.970526316	0.823684211	0.756842105	0.475263158	0.514736842	0.631052632	0.482105263	0.922105263	0.479473684	0.776842105	0.655789474	0.885789474	0.495789474	0.578421053	0.455263158	0.694210526	0.507894737	0.449473684	0.47	0.497894737	0.681578947	0.462105263
Z11-C	0.994736842	0.967894737	0.985789474	0.994736842	0	0.464736842	0.517894737	0.981052632	0.962105263	0.992105263	0.994736842	0.994736842	0.994736842	0.994736842	0.967894737	0.967894737	0.992105263	0.974736842	0.971052632	0.994736842	0.983157895	0.994736842	0.994736842	0.967368421	0.991052632	0.967894737	0.970526316	0.992105263	0.992105263	0.965263158	0.992105263	0.972105263	0.967894737	0.988947368	0.971578947	0.994736842	0.491578947	0.951578947	0.974736842	0.987894737	0.989473684	0.967894737	0.992105263	0.997368421	0.992105263	0.996842105	0.990526316	0.994736842	0.992105263	0.994736842	0.967894737	0.994736842	0.965263158	0.992105263	0.979473684	0.969473684	0.997894737	0.967894737	0.961578947	0.994736842	0.994736842	0.990526316	0.968947368	0.966315789	0.994736842	0.883684211	0.994736842
Z11-N	0.977894737	0.865263158	0.967894737	0.974736842	0.464736842	0	0.45	0.964210526	0.864736842	0.978947368	0.98	0.982105263	0.979473684	0.982105263	0.861578947	0.950526316	0.975789474	0.948421053	0.952631579	0.978947368	0.969473684	0.983157895	0.978947368	0.91	0.981578947	0.887368421	0.880526316	0.977894737	0.975263158	0.824736842	0.977894737	0.877368421	0.92	0.977368421	0.883684211	0.981052632	0.870526316	0.925263158	0.962631579	0.845789474	0.961052632	0.878421053	0.977894737	0.995789474	0.977368421	0.986842105	0.974736842	0.980526316	0.975263158	0.983157895	0.921578947	0.981578947	0.906842105	0.978947368	0.961578947	0.947368421	0.986315789	0.952631579	0.856315789	0.974736842	0.977894737	0.972105263	0.953157895	0.945263158	0.981052632	0.961052632	0.982105263
Z11-R	0.822631579	0.806842105	0.824736842	0.822631579	0.517894737	0.45	0	0.722631579	0.766842105	0.778421053	0.833684211	0.826842105	0.834210526	0.814736842	0.812631579	0.795263158	0.749473684	0.748947368	0.771578947	0.823684211	0.823684211	0.840526316	0.811052632	0.930526316	0.91	0.838421053	0.928947368	0.836842105	0.760526316	0.789473684	0.783684211	0.976315789	0.832631579	0.805789474	0.922631579	0.94	0.992105263	0.761052632	0.888947368	0.911052632	0.849473684	0.885263158	0.767368421	0.896315789	0.773157895	0.884736842	0.791052632	0.831052632	0.738947368	0.842631579	0.798421053	0.828947368	0.861052632	0.778421053	0.76	0.785789474	0.959473684	0.803157895	0.820526316	0.822105263	0.784210526	0.794736842	0.831052632	0.772105263	0.810526316	0.795789474	0.793157895
Z13-A	0.444736842	0.495263158	0.337368421	0.484210526	0.981052632	0.964210526	0.722631579	0	0.339473684	0.211578947	0.364736842	0.374736842	0.347368421	0.718421053	0.581578947	0.304210526	0.42	0.534210526	0.338947368	0.541578947	0.410526316	0.346315789	0.328947368	0.958421053	0.912631579	0.598947368	0.933157895	0.846315789	0.337368421	0.737368421	0.356842105	0.979473684	0.369473684	0.378421053	0.956315789	0.945263158	0.988947368	0.538947368	0.833684211	0.912631579	0.832105263	0.863157895	0.335789474	0.820526316	0.494210526	0.903684211	0.680526316	0.728947368	0.225263158	0.389473684	0.594210526	0.345263158	0.759473684	0.290526316	0.599473684	0.708947368	0.965263158	0.309473684	0.715263158	0.332105263	0.656315789	0.382105263	0.342631579	0.370526316	0.351578947	0.687368421	0.303157895
Z13-C	0.516315789	0.425789474	0.503684211	0.533157895	0.962105263	0.864736842	0.766842105	0.339473684	0	0.354210526	0.517368421	0.528421053	0.47	0.621052632	0.484736842	0.494210526	0.508947368	0.53	0.503684211	0.442105263	0.505263158	0.525789474	0.516315789	0.904210526	0.954736842	0.52	0.806315789	0.855263158	0.385263158	0.616842105	0.476842105	0.872631579	0.478421053	0.521052632	0.862631579	0.946842105	0.87	0.538421053	0.828947368	0.908421053	0.836842105	0.818421053	0.385263158	0.748421053	0.483157895	0.959473684	0.682105263	0.77	0.410526316	0.533684211	0.572105263	0.522105263	0.696842105	0.414736842	0.591578947	0.749473684	0.989473684	0.495263158	0.613157895	0.515789474	0.719473684	0.515789474	0.471578947	0.518421053	0.523684211	0.726315789	0.522105263
Z13-N	0.516842105	0.541578947	0.322631579	0.517894737	0.992105263	0.978947368	0.778421053	0.211578947	0.354210526	0	0.318421053	0.327894737	0.316315789	0.761052632	0.627368421	0.318947368	0.495263158	0.556842105	0.337368421	0.577894737	0.434736842	0.316315789	0.316315789	0.978421053	0.957894737	0.615789474	0.916842105	0.851578947	0.288421053	0.763157895	0.381052632	1	0.328947368	0.414736842	0.992631579	0.946842105	1	0.599473684	0.850526316	0.927894737	0.857894737	0.923157895	0.344210526	0.707894737	0.378421053	0.966315789	0.585789474	0.788947368	0.301578947	0.4	0.704210526	0.354736842	0.672105263	0.263157895	0.512105263	0.781578947	0.989473684	0.388421053	0.745789474	0.348421053	0.725789474	0.449473684	0.357894737	0.445263158	0.363157895	0.754736842	0.362631579
