	Z1-A	Z1-C	Z1-N	Z1-R	Z11-C	Z11-N	Z11-R	Z13-A	Z13-C	Z13-N	Z18-A	Z18-C	Z18-R	Z23-C	Z23-N	Z23-R	Z26-C	Z26-N	Z26-R	Z28-A	Z28-C	Z28-N	Z28-R	Z29-A	Z29-C	Z29-N	Z29-R	Z32-A	Z32-C	Z32-N	Z32-R	Z36-A	Z36-C	Z36-N	Z36-R	Z39-A	Z39-N	Z39-R	Z4-A	Z4-C	Z4-N	Z4-R	Z40-A	Z40-C	Z40-N	Z40-R	Z43-C	Z43-N	Z43-R	Z44-A	Z44-C	Z44-N	Z45-A	Z45-C	Z45-N	Z45-R	Z46-C	Z46-N	Z46-R	Z5-A	Z5-C	Z5-N	Z5-R	Z6-A	Z6-C	Z6-N	Z6-R
Z1-A	0	0.811320755	0.75	0.682539683	0.914893617	0.835820896	0.851851852	0.672413793	0.770833333	0.829268293	0.803571429	0.826086957	0.679245283	0.785714286	0.734375	0.711864407	0.74	0.824742268	0.849315068	0.732142857	0.782608696	0.682926829	0.62962963	0.876923077	0.918918919	0.777777778	0.984848485	0.836065574	0.797297297	0.797297297	0.813559322	0.929824561	0.85	0.803571429	0.916666667	0.907216495	0.979166667	0.782051282	0.895522388	0.803571429	0.724137931	0.830188679	0.858974359	1	0.836363636	0.960674157	0.85	0.682926829	0.75862069	0.8	0.746268657	0.745454545	0.849315068	0.823529412	0.788461538	0.817204301	0.852941176	0.666666667	0.848101266	0.75862069	0.853333333	0.773584906	0.695652174	0.802816901	0.734693878	0.754716981	0.724137931
Z1-C	0.811320755	0	0.824561404	0.870967742	0.848484848	0.773584906	0.823529412	0.857142857	0.789473684	0.75	0.826086957	0.794117647	0.8125	0.733333333	0.807017544	0.833333333	0.780487805	0.89010989	0.816666667	0.84	0.836065574	0.794117647	0.849056604	0.846153846	0.919354839	0.727272727	0.981132075	0.862745098	0.898550725	0.793650794	0.836734694	0.933333333	0.782608696	0.8	0.916666667	0.905882353	0.941176471	0.845070423	0.890909091	0.744186047	0.755102041	0.775	0.865671642	1	0.840909091	0.951219512	0.871428571	0.794117647	0.795918367	0.75	0.836065574	0.782608696	0.836065574	0.825	0.75	0.858823529	0.898305085	0.785714286	0.818181818	0.82	0.859375	0.761904762	0.794871795	0.838709677	0.804878049	0.822222222	0.826923077
Z1-N	0.75	0.824561404	0	0.739130435	0.9	0.811594203	0.858823529	0.772727273	0.74	0.844444444	0.836065574	0.84	0.745762712	0.854166667	0.768115942	0.75	0.803571429	0.843137255	0.857142857	0.770491803	0.794520548	0.711111111	0.741935484	0.884057971	0.975609756	0.843137255	0.971014493	0.880597015	0.82278481	0.807692308	0.825396825	0.93442623	0.822580645	0.816666667	0.954545455	0.921568627	0.960784314	0.835294118	0.931506849	0.775862069	0.741935484	0.862068966	0.851851852	1	0.866666667	0.967213115	0.843373494	0.739130435	0.774193548	0.790697674	0.777777778	0.783333333	0.871794872	0.857142857	0.803571429	0.893203883	0.921052632	0.716981132	0.8125	0.733333333	0.888888889	0.767857143	0.666666667	0.828947368	0.777777778	0.793103448	0.78125
Z1-R	0.682539683	0.870967742	0.739130435	0	0.925925926	0.802816901	0.850574713	0.764705882	0.8	0.854166667	0.806451613	0.826923077	0.758064516	0.84	0.742857143	0.742424242	0.771929825	0.836538462	0.848101266	0.741935484	0.802631579	0.729166667	0.714285714	0.888888889	0.925925926	0.830188679	0.942857143	0.835820896	0.814814815	0.769230769	0.815384615	0.885245902	0.8125	0.825396825	0.909090909	0.913461538	1	0.813953488	0.85915493	0.806451613	0.753846154	0.85	0.870588235	1	0.85483871	0.945054945	0.821428571	0.755102041	0.784615385	0.829787234	0.753424658	0.793650794	0.848101266	0.824561404	0.833333333	0.806122449	0.835616438	0.732142857	0.804878049	0.725806452	0.865853659	0.819672131	0.711538462	0.820512821	0.789473684	0.74137931	0.753846154
Z11-C	0.914893617	0.848484848	0.9	0.925925926	0	0.76744186	0.827586207	0.869565217	0.740740741	0.722222222	0.894736842	0.84	0.902439024	0.818181818	0.901960784	0.891304348	0.848484848	0.927710843	0.886792453	0.904761905	0.907407407	0.84	0.911111111	0.88372093	0.962264151	0.8	0.95	0.87804878	0.915254237	0.896551724	0.875	0.909090909	0.871794872	0.864864865	0.947368421	0.948051948	0.857142857	0.888888889	0.911111111	0.864864865	0.886363636	0.84375	0.915254237	0.956521739	0.852941176	0.987341772	0.901639344	0.84	0.880952381	0.789473684	0.907407407	0.9	0.886792453	0.833333333	0.8125	0.924050633	0.960784314	0.852941176	0.9	0.906976744	0.929824561	0.857142857	0.833333333	0.888888889	0.878787879	0.861111111	0.911111111
Z11-N	0.835820896	0.773584906	0.811594203	0.802816901	0.76744186	0	0.733333333	0.838235294	0.803921569	0.80952381	0.85	0.833333333	0.838709677	0.822222222	0.779411765	0.818181818	0.818181818	0.828282828	0.853333333	0.841269841	0.868421053	0.857142857	0.848484848	0.863636364	0.921052632	0.836734694	0.921875	0.859375	0.8625	0.802631579	0.838709677	0.811320755	0.836065574	0.868852459	0.936507937	0.897959184	0.959183673	0.831325301	0.865671642	0.810344828	0.774193548	0.857142857	0.890243902	0.98	0.821428571	0.966850829	0.853658537	0.833333333	0.84375	0.837209302	0.883116883	0.85483871	0.837837838	0.851851852	0.773584906	0.857142857	0.888888889	0.821428571	0.776315789	0.766666667	0.886075949	0.824561404	0.784313725	0.84	0.857142857	0.827586207	0.865671642
Z11-R	0.851851852	0.823529412	0.858823529	0.850574713	0.827586207	0.733333333	0	0.746666667	0.8125	0.859649123	0.864864865	0.85483871	0.855263158	0.866666667	0.804878049	0.8375	0.84057971	0.840707965	0.811764706	0.857142857	0.852272727	0.873015873	0.818181818	0.860759494	0.91011236	0.857142857	0.95	0.842105263	0.847826087	0.835164835	0.855263158	0.869565217	0.853333333	0.833333333	0.935064935	0.921052632	0.96875	0.795698925	0.890243902	0.816901408	0.802631579	0.838235294	0.895833333	0.96875	0.875	0.902173913	0.840425532	0.816666667	0.828947368	0.879310345	0.852272727	0.853333333	0.865168539	0.884057971	0.84057971	0.876106195	0.895348837	0.826086957	0.85106383	0.828947368	0.829545455	0.811594203	0.833333333	0.840909091	0.784615385	0.797101449	0.833333333
Z13-A	0.672413793	0.857142857	0.772727273	0.764705882	0.869565217	0.838235294	0.746666667	0	0.666666667	0.804878049	0.866666667	0.854166667	0.685185185	0.761904762	0.738461538	0.737704918	0.666666667	0.802083333	0.866666667	0.714285714	0.785714286	0.69047619	0.706896552	0.84375	0.92	0.808510638	0.985074627	0.819672131	0.75	0.831168831	0.816666667	0.931034483	0.833333333	0.827586207	0.918032787	0.919191919	0.979591837	0.753246753	0.897058824	0.807017544	0.728813559	0.811320755	0.860759494	0.936170213	0.859649123	0.937142857	0.82278481	0.658536585	0.762711864	0.775	0.712121212	0.771929825	0.835616438	0.826923077	0.769230769	0.831578947	0.887323944	0.617021277	0.835443038	0.762711864	0.824324324	0.777777778	0.673913043	0.788732394	0.74	0.711538462	0.728813559
Z13-C	0.770833333	0.789473684	0.74	0.8	0.740740741	0.803921569	0.8125	0.666666667	0	0.652173913	0.780487805	0.724137931	0.641025641	0.692307692	0.745098039	0.717391304	0.756756757	0.817073171	0.844827586	0.714285714	0.781818182	0.62962963	0.760869565	0.833333333	0.95	0.733333333	0.958333333	0.8	0.779661017	0.779661017	0.795454545	0.952380952	0.761904762	0.717948718	0.933333333	0.914634146	0.933333333	0.761904762	0.903846154	0.717948718	0.704545455	0.783783784	0.838709677	0.933333333	0.794871795	0.95	0.80952381	0.576923077	0.69047619	0.590909091	0.735849057	0.731707317	0.803571429	0.735294118	0.722222222	0.865853659	0.929824561	0.657142857	0.84375	0.720930233	0.85	0.666666667	0.517241379	0.763636364	0.676470588	0.675675676	0.8125
Z13-N	0.829268293	0.75	0.844444444	0.854166667	0.722222222	0.80952381	0.859649123	0.804878049	0.652173913	0	0.78125	0.631578947	0.8	0.5625	0.847826087	0.829268293	0.703703704	0.897435897	0.833333333	0.805555556	0.857142857	0.631578947	0.820512821	0.815789474	0.96	0.65	0.945945946	0.735294118	0.826923077	0.849056604	0.764705882	1	0.794117647	0.741935484	0.942857143	0.901408451	1	0.86440678	0.904761905	0.78125	0.820512821	0.740740741	0.849056604	0.95	0.714285714	0.967105263	0.857142857	0.631578947	0.777777778	0.461538462	0.857142857	0.794117647	0.833333333	0.666666667	0.703703704	0.891891892	0.913043478	0.75862069	0.875	0.810810811	0.862745098	0.766666667	0.72	0.86	0.740740741	0.774193548	0.789473684
