	Z1-A	Z1-C	Z1-N	Z1-R	Z11-C	Z11-N	Z11-R	Z13-A	Z13-C	Z13-N	Z18-A	Z18-C	Z18-R	Z23-C	Z23-N	Z23-R	Z26-C	Z26-N	Z26-R	Z28-A	Z28-C	Z28-N	Z28-R	Z29-A	Z29-C	Z29-N	Z29-R	Z32-A	Z32-C	Z32-N	Z32-R	Z36-A	Z36-C	Z36-N	Z36-R	Z39-A	Z39-N	Z39-R	Z4-A	Z4-C	Z4-N	Z4-R	Z40-A	Z40-C	Z40-N	Z40-R	Z43-C	Z43-N	Z43-R	Z44-A	Z44-C	Z44-N	Z45-A	Z45-C	Z45-N	Z45-R	Z46-C	Z46-N	Z46-R	Z5-A	Z5-C	Z5-N	Z5-R	Z6-A	Z6-C	Z6-N	Z6-R
Z1-A	0	0.75802905	0.596497236	0.410517845	0.838574996	0.582832885	0.561800689	0.446060908	0.763456915	0.771007815	0.793890364	0.811217567	0.619162825	0.805602477	0.544836023	0.537845822	0.766566946	0.518264052	0.640399124	0.768801303	0.70905916	0.549394676	0.559149354	0.718649086	0.789708355	0.779797575	0.855966859	0.733898491	0.534442268	0.60683924	0.590292412	0.771471439	0.522528222	0.765849206	0.798036239	0.570428935	0.941094543	0.560607457	0.810078903	0.781387113	0.516635901	0.733368521	0.637264431	0.897459635	0.743394795	0.791536653	0.736374199	0.813366449	0.791568948	0.821904971	0.492540192	0.762798276	0.772480677	0.475594059	0.5747519	0.570695064	0.618364231	0.762883942	0.780775825	0.55869425	0.765503309	0.766429834	0.536772047	0.781347889	0.813322291	0.560738297	0.500158887
Z1-C	0.75802905	0	0.766430445	0.793718464	0.672567824	0.730438381	0.718282313	0.719612967	0.533929308	0.468028529	0.601666544	0.591293211	0.783753961	0.542931468	0.693257691	0.744574938	0.596766227	0.751424402	0.803599663	0.51661175	0.590329698	0.727933073	0.732980811	0.482452769	0.72553033	0.461250113	0.857491894	0.477202014	0.751509292	0.712378156	0.753816002	0.507174578	0.707233022	0.578128408	0.666972858	0.748238428	0.881576915	0.706247763	0.707105403	0.570041982	0.690995118	0.519393192	0.803010127	0.808769015	0.513762963	0.747027705	0.581133042	0.55996115	0.625855736	0.564421314	0.696496961	0.573126117	0.589217097	0.620196468	0.675218967	0.737296711	0.772801359	0.498578402	0.518812217	0.648485226	0.62475632	0.490646019	0.733744443	0.620525402	0.679122949	0.653821614	0.679360593
Z1-N	0.596497236	0.766430445	0	0.632830386	0.858323959	0.564898852	0.538113253	0.581393902	0.790089393	0.785988906	0.707822412	0.810852899	0.550124158	0.826912529	0.544053259	0.496412582	0.809874739	0.589902259	0.574334291	0.798552399	0.777415956	0.582002314	0.474625665	0.714946605	0.818334915	0.819943398	0.877439069	0.715246299	0.591078376	0.792503625	0.611958832	0.752817934	0.550324929	0.774932988	0.811657437	0.565131201	0.93615928	0.792367107	0.804780486	0.77986079	0.519787412	0.771229863	0.632707922	0.8936194	0.759892823	0.754664259	0.713354885	0.827571735	0.782435292	0.834998001	0.53329851	0.750233013	0.764335609	0.518814663	0.800095677	0.565291973	0.618743644	0.767671342	0.769928404	0.781358571	0.732148578	0.767612006	0.592531811	0.801275097	0.83337226	0.833046996	0.538512652
Z1-R	0.410517845	0.793718464	0.632830386	0	0.857635936	0.605729423	0.584663338	0.568274641	0.802473006	0.806745162	0.802134076	0.826295601	0.645266636	0.830028312	0.558480233	0.579968458	0.789685808	0.599983125	0.683823218	0.797668372	0.796784528	0.611967267	0.608682493	0.75392122	0.811226363	0.80032953	0.89125088	0.752479873	0.598694186	0.587032429	0.60152578	0.774762433	0.546804316	0.780886786	0.808543684	0.604093158	0.955076162	0.614710637	0.809571518	0.789402198	0.545441629	0.796679465	0.641736056	0.894883552	0.751895013	0.792026206	0.769315705	0.830994922	0.794307477	0.844387828	0.554370905	0.775634238	0.757916448	0.549021394	0.612853567	0.604903074	0.644865055	0.80217612	0.775750362	0.603781065	0.758406401	0.789235775	0.592591587	0.802323919	0.821456481	0.604345784	0.539305974
Z11-C	0.838574996	0.672567824	0.858323959	0.857635936	0	0.533404279	0.819162469	0.804426504	0.657252185	0.624901167	0.744348485	0.691065473	0.843020604	0.680362052	0.810624878	0.806406628	0.710758092	0.833510369	0.672889708	0.667777757	0.748636636	0.804430519	0.813918846	0.706251835	0.510422795	0.622089309	0.654052231	0.718670522	0.841686975	0.807110509	0.844117318	0.65275472	0.795175026	0.694871233	0.330826574	0.84511134	0.492252303	0.810047076	0.490711746	0.693404928	0.767394081	0.687655225	0.8512748	0.886463457	0.709677412	0.862108678	0.743227171	0.626793751	0.788159789	0.648952334	0.789076648	0.703609252	0.727987923	0.767438502	0.764715512	0.837755395	0.622781965	0.677119103	0.691344849	0.758764708	0.775380466	0.633108622	0.786387758	0.735988939	0.75599152	0.737463668	0.802391184
Z11-N	0.582832885	0.730438381	0.564898852	0.605729423	0.533404279	0	0.491123594	0.496979554	0.768624383	0.76327206	0.791755438	0.777386553	0.580962046	0.793436401	0.455578789	0.532159691	0.766799402	0.528141057	0.430810898	0.736432419	0.768361378	0.527480532	0.505298115	0.680732026	0.580639299	0.776582287	0.696279656	0.662080376	0.524803031	0.779427331	0.562831708	0.716560226	0.490484688	0.746125253	0.517060285	0.545759768	0.71448326	0.773099059	0.545227116	0.746372717	0.416162917	0.745236131	0.604246741	0.883477626	0.725646763	0.79442144	0.713630022	0.789081529	0.766701156	0.802198117	0.478480091	0.737909103	0.750769368	0.448149853	0.77526665	0.550980708	0.346602069	0.741425886	0.721743267	0.735651561	0.73399183	0.722698223	0.533361162	0.75035205	0.803269924	0.798511022	0.481228771
Z11-R	0.561800689	0.718282313	0.538113253	0.584663338	0.819162469	0.491123594	0	0.441707665	0.733954334	0.740995252	0.762082376	0.723051928	0.587205904	0.787695619	0.378264952	0.51100062	0.752693984	0.493438868	0.567683967	0.723797712	0.708081159	0.493236089	0.471579954	0.6576928	0.778218188	0.756368702	0.879166124	0.65313104	0.49568169	0.78423931	0.521026461	0.696425077	0.443118974	0.731338796	0.760336838	0.494018404	0.920968236	0.733173467	0.76793252	0.759272208	0.422026291	0.707481033	0.573546826	0.867435811	0.676973639	0.700241317	0.670599958	0.784803355	0.751643104	0.7923593	0.363403897	0.736739362	0.700282662	0.396738483	0.780395303	0.50068636	0.563049841	0.726189151	0.717798733	0.731288619	0.658589662	0.729193826	0.524004158	0.745232888	0.752636781	0.782734233	0.432803463
Z13-A	0.446060908	0.719612967	0.581393902	0.568274641	0.804426504	0.496979554	0.441707665	0	0.656065816	0.736373723	0.764860856	0.784262643	0.514907463	0.756950532	0.375273807	0.388924087	0.714587303	0.345898677	0.599520683	0.712459075	0.658381315	0.454102402	0.493484598	0.682650107	0.778963939	0.732308115	0.875520399	0.68787606	0.443908075	0.782146833	0.501778623	0.714995558	0.346710045	0.717597868	0.760880912	0.49293234	0.943716851	0.679884214	0.764759722	0.730725418	0.396526368	0.725953415	0.581343328	0.862631744	0.681751293	0.788181987	0.717070631	0.769272338	0.745826553	0.770387956	0.378868433	0.732509038	0.708614416	0.360047526	0.767674201	0.530573947	0.573881085	0.719470101	0.72725877	0.726757487	0.737575349	0.708459695	0.375083758	0.725638765	0.760801531	0.751705139	0.39519226
Z13-C	0.763456915	0.533929308	0.790089393	0.802473006	0.657252185	0.768624383	0.733954334	0.656065816	0	0.295800911	0.678088621	0.574345821	0.750648821	0.532754733	0.680879286	0.669954025	0.609229576	0.716546339	0.807804284	0.52300315	0.582961816	0.757684671	0.751105107	0.594803721	0.763567673	0.539038424	0.859652982	0.545733761	0.774585917	0.732438845	0.762789249	0.557571395	0.667315337	0.554775282	0.699087388	0.769676414	0.933207184	0.66147108	0.739201894	0.535044854	0.712446676	0.56106315	0.82387288	0.788360308	0.531368886	0.792615485	0.586297528	0.510896253	0.690422869	0.447762958	0.671804338	0.607094534	0.602254098	0.680975834	0.655365571	0.771856459	0.817325309	0.507057482	0.630163925	0.623037101	0.667629048	0.540185814	0.655358247	0.629289247	0.705439726	0.659447867	0.707270745
Z13-N	0.771007815	0.468028529	0.785988906	0.806745162	0.624901167	0.76327206	0.740995252	0.736373723	0.295800911	0	0.642642505	0.523719533	0.816009677	0.494131625	0.75741173	0.736503995	0.617161677	0.786693546	0.811984424	0.49690302	0.583679752	0.738488872	0.748549199	0.547623091	0.768188546	0.463862971	0.868184969	0.499332718	0.785931677	0.739548388	0.777317442	0.535613681	0.743719352	0.520124105	0.686700369	0.767520132	0.935395013	0.728478757	0.743993496	0.531786065	0.705661113	0.50406402	0.817047301	0.795081247	0.458931703	0.810513951	0.568894626	0.437448524	0.668431403	0.330229135	0.680068062	0.595315863	0.611855278	0.670058851	0.677102754	0.778790387	0.807161713	0.445542474	0.606689087	0.643261529	0.666194481	0.482609451	0.732775562	0.64953337	0.692530726	0.683306562	0.705127019
Z18-A	0.793890364	0.601666544	0.707822412	0.802134076	0.744348485	0.791755438	0.762082376	0.764860856	0.678088621	0.642642505	0	0.615184088	0.702099206	0.60127317	0.751491925	0.648284462	0.627514375	0.769238857	0.743651945	0.642489296	0.617340051	0.750013214	0.646665701	0.653707709	0.729657232	0.591369342	0.887390729	0.589110055	0.803860051	0.725491028	0.791330691	0.580495477	0.694623203	0.533621355	0.70180503	0.767215608	0.911218532	0.738439199	0.758290392	0.625968569	0.719025774	0.642541858	0.80157758	0.822252154	0.583950757	0.787860929	0.615677624	0.608677825	0.702424234	0.643264975	0.755817356	0.555793491	0.593666803	0.735905364	0.704140298	0.790357339	0.817590025	0.585209938	0.561320647	0.703971668	0.687034758	0.519829355	0.769451206	0.686929925	0.675940965	0.723386126	0.743948026
Z18-C	0.811217567	0.591293211	0.810852899	0.826295601	0.691065473	0.777386553	0.723051928	0.784262643	0.574345821	0.523719533	0.615184088	0	0.796920293	0.521274176	0.708735762	0.768753004	0.583537228	0.800770698	0.826473296	0.536986664	0.651153702	0.742578195	0.731070613	0.594549489	0.752969629	0.562772742	0.926985814	0.577418742	0.816595395	0.723115151	0.792013751	0.445707044	0.725728313	0.597539937	0.705406452	0.802937396	0.913332147	0.752587406	0.759616344	0.575970945	0.721457134	0.548230728	0.793367839	0.796955986	0.584192784	0.810903725	0.606599076	0.472016493	0.745831793	0.490890949	0.701958012	0.60800811	0.583233161	0.727995941	0.693891443	0.806608887	0.809124337	0.545471192	0.587527734	0.688977587	0.64344264	0.505633348	0.758807931	0.664413371	0.63578619	0.700182481	0.757973209
Z18-R	0.619162825	0.783753961	0.550124158	0.645266636	0.843020604	0.580962046	0.587205904	0.514907463	0.750648821	0.816009677	0.702099206	0.796920293	0	0.793833588	0.465707768	0.358528473	0.778852623	0.52934953	0.60423683	0.776648835	0.785698929	0.538695364	0.442066904	0.754529327	0.808950298	0.785310265	0.910344797	0.775428422	0.61436391	0.785240893	0.332098675	0.752868083	0.412793142	0.753032475	0.795152506	0.607818699	0.950875899	0.780283569	0.810152266	0.773165786	0.476133925	0.800112899	0.435088747	0.895215999	0.785030963	0.826475966	0.749219867	0.806189809	0.576550124	0.824152943	0.541503085	0.761456715	0.778061962	0.510586195	0.777155823	0.589288137	0.646130009	0.798826717	0.743904047	0.778324012	0.805477785	0.743572001	0.478879573	0.767510979	0.559649949	0.807979798	0.557120707
Z23-C	0.805602477	0.542931468	0.826912529	0.830028312	0.680362052	0.793436401	0.787695619	0.756950532	0.532754733	0.494131625	0.60127317	0.521274176	0.793833588	0	0.756511364	0.736407821	0.569085504	0.801736237	0.845697685	0.474189539	0.614995835	0.701666508	0.741663477	0.620598946	0.779538563	0.463689092	0.925144996	0.616368486	0.815578523	0.746340784	0.804090069	0.487507145	0.727799787	0.566149272	0.69582478	0.8057208	0.932430116	0.769936664	0.769653135	0.547266607	0.707852855	0.594871623	0.819476723	0.789484051	0.561962943	0.829310507	0.630286609	0.504069557	0.727334629	0.468638575	0.734696074	0.594853516	0.607834518	0.704954112	0.682645825	0.805761193	0.821679154	0.522927226	0.580957467	0.694227576	0.722267941	0.451692961	0.717190724	0.648994106	0.652938748	0.667814048	0.749692957
Z23-N	0.544836023	0.693257691	0.544053259	0.558480233	0.810624878	0.455578789	0.378264952	0.375273807	0.680879286	0.75741173	0.751491925	0.708735762	0.465707768	0.756511364	0	0.400790749	0.740412789	0.404889371	0.617493344	0.725958564	0.722098613	0.45309128	0.466359108	0.611624183	0.757840773	0.733192041	0.879995555	0.63615666	0.501389292	0.748471628	0.470928604	0.688134604	0.320415057	0.719911195	0.768272007	0.491687336	0.922419103	0.722948743	0.749488082	0.731906997	0.360638424	0.704894725	0.586658189	0.857340709	0.698235033	0.758767277	0.668186829	0.744967549	0.731408551	0.794374568	0.3957307	0.71050149	0.699483116	0.366854445	0.74784782	0.490980203	0.540016528	0.719688676	0.691064854	0.718080135	0.684219133	0.683181591	0.388367086	0.732368844	0.748104942	0.772425834	0.435286203
Z23-R	0.537845822	0.744574938	0.496412582	0.579968458	0.806406628	0.532159691	0.51100062	0.388924087	0.669954025	0.736503995	0.648284462	0.768753004	0.358528473	0.736407821	0.400790749	0	0.750997101	0.482895806	0.548071191	0.711990378	0.763416026	0.392813656	0.285395861	0.72112553	0.796111197	0.714396053	0.900286416	0.735252756	0.555202642	0.770754544	0.538121826	0.719090904	0.327914161	0.717902313	0.773966598	0.551371754	0.940826252	0.758723079	0.799300328	0.712176053	0.378965819	0.768556501	0.582775069	0.869501745	0.708764843	0.82391814	0.739932925	0.771987573	0.789005878	0.753746932	0.420070601	0.737367893	0.710160813	0.393839512	0.770058023	0.558795571	0.603825207	0.761609943	0.73535999	0.773044867	0.768383335	0.727981405	0.320252926	0.747794314	0.779396136	0.755290488	0.415974154
