	Z1-A	Z1-C	Z1-N	Z1-R	Z11-C	Z11-N	Z11-R	Z13-A	Z13-C	Z13-N	Z18-A	Z18-C	Z18-R	Z23-C	Z23-N	Z23-R	Z26-C	Z26-N	Z26-R	Z28-A	Z28-C	Z28-N	Z28-R	Z29-A	Z29-C	Z29-N	Z29-R	Z32-A	Z32-C	Z32-N	Z32-R	Z36-A	Z36-C	Z36-N	Z36-R	Z39-A	Z39-N	Z39-R	Z4-A	Z4-C	Z4-N	Z4-R	Z40-A	Z40-C	Z40-N	Z40-R	Z43-C	Z43-N	Z43-R	Z44-A	Z44-C	Z44-N	Z45-A	Z45-C	Z45-N	Z45-R	Z46-C	Z46-N	Z46-R	Z5-A	Z5-C	Z5-N	Z5-R	Z6-A	Z6-C	Z6-N	Z6-R
Z1-A	0	0.277021669	0.397362534	0.203291042	0.972941402	0.94018263	0.676224339	0.241963109	0.243932227	0.281297748	0.358784072	0.361325465	0.481172419	0.621063152	0.352026022	0.355282521	0.162569203	0.521385573	0.245297118	0.302545228	0.135407696	0.537902257	0.414416781	0.928170655	0.960027428	0.369979254	0.915602622	0.822241046	0.301589757	0.588038926	0.199033248	0.948086858	0.338294595	0.16000437	0.94509408	0.887702295	0.994618251	0.312525541	0.746499789	0.788512025	0.706681767	0.804748529	0.226123093	0.966279044	0.502121991	0.910721692	0.793697259	0.160733696	0.268492535	0.311125614	0.305561223	0.235512259	0.875848778	0.198743925	0.687172339	0.636484237	0.966162965	0.46046486	0.541286757	0.287646968	0.527038627	0.16650931	0.492281939	0.119667094	0.263597666	0.486527392	0.273973509
Z1-C	0.277021669	0	0.555381426	0.218730637	0.774782555	0.746565463	0.530838079	0.414176496	0.203426404	0.441977075	0.502201048	0.515440245	0.667215281	0.486751316	0.158132443	0.509890768	0.168587554	0.388957393	0.417475546	0.174443292	0.25915258	0.680478943	0.598319668	0.769274979	0.819655275	0.21268585	0.714778502	0.687848872	0.248001687	0.415608751	0.372044161	0.746347432	0.487804588	0.295950711	0.737469853	0.687871233	0.778499943	0.180182567	0.616033568	0.572546981	0.524063761	0.625383125	0.202441845	0.83077819	0.376027116	0.743776355	0.660419765	0.279283468	0.436695499	0.419435426	0.190595231	0.375478412	0.726681578	0.362803327	0.541901209	0.471795814	0.837711452	0.604935535	0.347571298	0.440465053	0.36964618	0.284687407	0.667422976	0.257189646	0.418097404	0.351066665	0.435333866
Z1-N	0.397362534	0.555381426	0	0.477640047	1.231418592	1.197051954	0.962865474	0.232082005	0.508460717	0.2614084	0.11614374	0.132314535	0.176887717	0.876463663	0.621987127	0.078843182	0.470189938	0.833667944	0.294589338	0.582305502	0.359836715	0.210759685	0.104251169	1.212260671	1.230002397	0.671427369	1.221688647	1.104973122	0.562764095	0.867231292	0.352363355	1.204957727	0.110454505	0.356138824	1.198033135	1.138787153	1.235299575	0.622023279	1.029889984	1.085734863	0.975445131	1.10375843	0.511599521	1.24064208	0.745103597	1.207156472	1.046852788	0.402000067	0.184221758	0.263566113	0.590278302	0.244103566	1.158891654	0.322098048	0.944086577	0.924608364	1.221853186	0.122410454	0.822844915	0.148390939	0.807433053	0.315304632	0.178943	0.364055534	0.240137635	0.821836303	0.172524755
Z1-R	0.203291042	0.218730637	0.477640047	0	0.902643707	0.869099715	0.611390174	0.307604388	0.151313717	0.339962133	0.418182111	0.446148812	0.585039483	0.526807312	0.295432386	0.442580231	0.120688636	0.449488074	0.356647976	0.216013079	0.23028287	0.623421253	0.520267072	0.840777444	0.79388466	0.297058564	0.804475185	0.714452179	0.221415888	0.459442104	0.294027621	0.858495508	0.416628171	0.217794796	0.863497358	0.823119737	0.909928441	0.255870011	0.638833898	0.69801105	0.640994568	0.744383224	0.14610266	0.877933915	0.396856959	0.858066572	0.679410166	0.259425826	0.348862236	0.398805222	0.235265783	0.348932564	0.778118374	0.259398041	0.577919993	0.540248407	0.828811343	0.546320025	0.413328981	0.380916408	0.455472443	0.247563475	0.594734496	0.22367643	0.369406047	0.427555078	0.376849685
Z11-C	0.972941402	0.774782555	1.231418592	0.902643707	0	0.073114372	0.353580466	1.092021844	0.867512972	1.10614542	1.185103361	1.18275837	1.341443443	0.668842452	0.668828455	1.202758593	0.889592306	0.644651943	1.12858172	0.81283814	0.984939791	1.363448015	1.273718931	0.311322683	0.30347405	0.69387661	0.267470184	0.345941299	0.911843279	0.54447195	1.078498721	0.107120622	1.158231578	0.975366754	0.167024798	0.40148986	0.083812445	0.740166275	0.534608709	0.32514483	0.50221997	0.283419209	0.861344765	0.388386586	0.729085351	0.406971559	0.53637583	0.853572041	1.135055289	1.053904115	0.81384605	1.075606777	0.388633822	1.034756874	0.578969911	0.591422528	0.39829318	1.27586038	0.530772638	1.117684076	0.63970281	0.968665405	1.341163525	0.948129432	1.06857936	0.59801231	1.145549598
Z11-N	0.94018263	0.746565463	1.197051954	0.869099715	0.073114372	0	0.314508258	1.060096508	0.841093437	1.07984408	1.154896626	1.155145526	1.309265394	0.640542212	0.636128073	1.171087546	0.859682655	0.610168581	1.099626596	0.783734104	0.954612153	1.333544467	1.241262237	0.29458676	0.314939681	0.665483259	0.284486212	0.314024868	0.878869234	0.512008367	1.045204263	0.150117313	1.124844689	0.944715194	0.185989356	0.368226193	0.155660397	0.708835408	0.50752895	0.307171583	0.469653097	0.25348777	0.827799656	0.397812222	0.698652643	0.375568068	0.504644623	0.82839014	1.103770576	1.032180447	0.781298007	1.04458585	0.357916804	1.003118424	0.547783448	0.557687725	0.388101497	1.246876806	0.500572131	1.086263313	0.608273201	0.938792785	1.310269215	0.917215239	1.039655383	0.572239104	1.112757381
Z11-R	0.676224339	0.530838079	0.962865474	0.611390174	0.353580466	0.314508258	0	0.807610842	0.616192359	0.842881631	0.930172865	0.920531581	1.078858863	0.406094534	0.414760797	0.919032841	0.591178399	0.336303935	0.836057565	0.532025269	0.717283018	1.112012778	1.005700403	0.420524241	0.456732699	0.424010416	0.427921707	0.274194109	0.626424379	0.274527241	0.777510793	0.386270123	0.909718596	0.7132802	0.394016143	0.413447035	0.435578926	0.448312586	0.281793044	0.287968321	0.25208653	0.238142846	0.57912437	0.509014994	0.446331564	0.452016814	0.333072485	0.642455309	0.841137102	0.842970308	0.536515612	0.815837292	0.411966815	0.760837807	0.300262837	0.285294172	0.504661345	1.030093907	0.271824092	0.845372162	0.346285892	0.724479623	1.088597222	0.663388268	0.824584095	0.326894275	0.851384421
Z13-A	0.241963109	0.414176496	0.232082005	0.307604388	1.092021844	1.060096508	0.807610842	0	0.298646169	0.053299939	0.204623615	0.198448382	0.335099269	0.687027758	0.495862199	0.187175247	0.285049668	0.635237625	0.152221252	0.389325589	0.224199781	0.371351634	0.264822938	1.052697557	1.028061536	0.495611084	1.034235601	0.937485442	0.372294565	0.685747597	0.194937998	1.051037824	0.187910104	0.22024519	1.061268172	1.033839255	1.099476999	0.472740304	0.827654295	0.884416432	0.825944768	0.952480595	0.301503405	1.027494501	0.556086677	1.051852981	0.840628641	0.262778006	0.093715012	0.148754657	0.398151332	0.117911904	0.954733235	0.106277222	0.741650977	0.769494237	1.023447166	0.289606595	0.671034027	0.142032405	0.641605193	0.184026419	0.341667206	0.212260879	0.120050508	0.607090282	0.129435803
Z13-C	0.243932227	0.203426404	0.508460717	0.151313717	0.867512972	0.841093437	0.616192359	0.298646169	0	0.280537945	0.473564288	0.453422876	0.611937142	0.446487993	0.29163104	0.469221825	0.145982061	0.43794395	0.394023029	0.15476263	0.268281379	0.654730807	0.545918705	0.856981429	0.839887609	0.288026868	0.821088096	0.730322728	0.146213319	0.467983242	0.326449978	0.831773109	0.447745164	0.265898813	0.852897589	0.833792981	0.873005106	0.275539363	0.596874545	0.673036626	0.654562488	0.744543482	0.107348445	0.795055224	0.318195868	0.85284265	0.616558624	0.246544512	0.371183185	0.387150751	0.168144472	0.37453143	0.709024704	0.220501357	0.495717189	0.579721246	0.800359448	0.565681067	0.462276975	0.406808587	0.424962576	0.28070744	0.623710705	0.243223866	0.37587124	0.365174522	0.410910817
Z13-N	0.281297748	0.441977075	0.2614084	0.339962133	1.10614542	1.07984408	0.842881631	0.053299939	0.280537945	0	0.225649076	0.206573038	0.35936799	0.673890181	0.534246193	0.219917347	0.318633439	0.654567756	0.186205461	0.39024799	0.247170049	0.395541213	0.294585194	1.082758779	1.05028452	0.520383601	1.058055323	0.958393694	0.353102023	0.713673388	0.221382137	1.070840359	0.214945871	0.248151668	1.092766817	1.066471941	1.111637557	0.507634856	0.816829982	0.910844305	0.859139541	0.980859392	0.321297358	1.011092486	0.527792481	1.083386331	0.812744981	0.280581315	0.119687494	0.16290599	0.414277871	0.147407192	0.940762064	0.097912169	0.715902072	0.798467347	1.008012222	0.317356006	0.701306165	0.169596392	0.669777943	0.217173905	0.369164236	0.246705999	0.14110224	0.608912909	0.160360783
Z18-A	0.358784072	0.502201048	0.11614374	0.418182111	1.185103361	1.154896626	0.930172865	0.204623615	0.473564288	0.225649076	0	0.089739319	0.236629084	0.829496999	0.590206596	0.094044485	0.417714327	0.793974299	0.268205911	0.5387331	0.309664599	0.252364834	0.170896144	1.159056858	1.158301127	0.62040769	1.155253903	1.043051629	0.561227682	0.798642641	0.314476534	1.15925881	0.071886206	0.281141165	1.149193984	1.122704095	1.188528666	0.556224918	0.971580078	1.033165009	0.939452753	1.049488703	0.471514268	1.20062675	0.722104996	1.17945597	1.004128348	0.356982791	0.143561041	0.222135803	0.556662911	0.199065393	1.111468688	0.289284236	0.899760392	0.877699302	1.167971285	0.165630067	0.748290719	0.106659706	0.776613341	0.249077538	0.240071366	0.318035728	0.192564042	0.771369719	0.138917041
