	EX-CTR	Z1-A	Z1-C	Z1-N	Z1-R	Z11-C	Z11-N	Z11-R	Z13-A	Z13-C	Z13-N	Z18-A	Z18-C	Z18-R	Z23-C	Z23-N	Z23-R	Z26-C	Z26-N	Z26-R	Z28-A	Z28-C	Z28-N	Z28-R	Z29-A	Z29-C	Z29-N	Z29-R	Z32-A	Z32-C	Z32-N	Z32-R	Z36-A	Z36-C	Z36-N	Z36-R	Z39-A	Z39-N	Z39-R	Z4-A	Z4-C	Z4-N	Z4-R	Z40-A	Z40-C	Z40-N	Z40-R	Z43-C	Z43-N	Z43-R	Z44-A	Z44-C	Z44-N	Z45-A	Z45-C	Z45-N	Z45-R	Z46-C	Z46-N	Z46-R	Z5-A	Z5-C	Z5-N	Z5-R	Z6-A	Z6-C	Z6-N	Z6-R
EX-CTR	0.0	0.982	0.84	0.999	0.987	1.0	1.0	0.947	0.951	0.988	0.985	1.0	1.0	0.999	0.967	1.0	0.963	0.821	0.987	0.945	1.0	0.996	1.0	1.0	0.972	0.972	0.992	0.983	0.982	0.995	0.996	0.969	0.981	1.0	0.956	0.988	0.997	1.0	0.988	0.985	1.0	0.993	0.885	0.992	0.981	1.0	0.871	0.985	1.0	0.962	0.998	0.961	0.99	0.965	1.0	0.962	0.927	0.983	0.948	1.0	1.0	0.898	0.945	1.0	0.966	0.989	0.978	0.934
Z1-A	0.982	0.0	0.51	0.485	0.472	0.993	0.976	0.827	0.451	0.531	0.531	0.477	0.515	0.455	0.735	0.535	0.454	0.496	0.684	0.496	0.507	0.496	0.485	0.447	0.962	0.956	0.541	0.984	0.806	0.525	0.708	0.497	0.975	0.514	0.505	0.949	0.922	0.998	0.483	0.803	0.903	0.819	0.865	0.538	1.0	0.67	0.942	0.842	0.624	0.453	0.519	0.522	0.449	0.927	0.511	0.77	0.677	0.939	0.417	0.699	0.434	0.693	0.477	0.437	0.451	0.501	0.601	0.46
Z1-C	0.84	0.51	0.0	0.514	0.564	0.953	0.832	0.819	0.49	0.445	0.531	0.516	0.531	0.529	0.725	0.424	0.46	0.389	0.695	0.467	0.546	0.523	0.531	0.53	0.909	0.964	0.529	0.797	0.933	0.599	0.631	0.525	0.761	0.467	0.489	0.755	0.941	0.771	0.569	0.814	0.9	0.85	0.694	0.543	1.0	0.692	0.893	0.866	0.785	0.483	0.532	0.559	0.521	0.857	0.531	0.768	0.702	0.971	0.452	0.542	0.518	0.636	0.469	0.503	0.479	0.522	0.748	0.478
Z1-N	0.999	0.485	0.514	0.0	0.481	0.983	0.965	0.842	0.343	0.514	0.343	0.27	0.317	0.251	0.757	0.597	0.264	0.535	0.698	0.328	0.529	0.39	0.232	0.251	0.969	0.995	0.587	0.986	0.925	0.55	0.753	0.373	0.986	0.27	0.392	0.983	0.939	0.989	0.546	0.829	0.896	0.845	0.898	0.481	1.0	0.691	0.981	0.869	0.752	0.358	0.366	0.599	0.335	0.946	0.357	0.776	0.766	0.987	0.336	0.713	0.298	0.712	0.419	0.288	0.409	0.322	0.722	0.309
Z1-R	0.987	0.472	0.564	0.481	0.0	0.993	0.973	0.835	0.488	0.546	0.525	0.471	0.508	0.488	0.753	0.591	0.481	0.528	0.697	0.501	0.479	0.507	0.507	0.483	0.962	0.767	0.578	0.83	0.882	0.539	0.741	0.506	0.952	0.51	0.494	0.945	0.939	1.0	0.573	0.731	0.88	0.803	0.858	0.527	1.0	0.685	0.978	0.822	0.747	0.484	0.524	0.578	0.483	0.92	0.493	0.761	0.656	0.878	0.493	0.603	0.458	0.687	0.516	0.466	0.478	0.508	0.676	0.461
Z11-C	1.0	0.993	0.953	0.983	0.993	0.0	0.464	0.543	0.983	0.949	0.991	0.993	0.993	0.993	0.993	0.953	0.959	0.991	0.966	0.969	0.993	0.983	0.993	0.993	0.952	0.992	0.953	0.958	0.991	0.991	0.951	0.989	0.959	0.953	0.98	0.958	0.993	0.48	0.956	0.971	0.984	0.991	0.953	0.991	0.998	0.991	0.994	0.99	0.993	0.991	0.993	0.953	0.993	0.952	0.991	0.98	0.97	0.997	0.966	0.944	0.993	0.993	0.985	0.965	0.955	0.993	0.875	0.993
Z11-N	1.0	0.976	0.832	0.965	0.973	0.464	0.0	0.455	0.963	0.846	0.975	0.978	0.98	0.976	0.978	0.825	0.941	0.973	0.936	0.946	0.976	0.967	0.98	0.977	0.916	0.983	0.895	0.851	0.972	0.973	0.79	0.972	0.851	0.914	0.967	0.852	0.98	0.839	0.936	0.956	0.878	0.958	0.878	0.975	0.995	0.975	0.981	0.971	0.978	0.973	0.98	0.917	0.977	0.903	0.973	0.961	0.95	0.989	0.95	0.821	0.972	0.972	0.964	0.947	0.933	0.978	0.959	0.979
Z11-R	0.947	0.827	0.819	0.842	0.835	0.543	0.455	0.0	0.729	0.77	0.774	0.845	0.832	0.845	0.828	0.841	0.813	0.755	0.755	0.785	0.831	0.839	0.853	0.83	0.927	0.923	0.845	0.932	0.824	0.76	0.81	0.8	0.981	0.849	0.819	0.92	0.935	0.996	0.78	0.899	0.902	0.853	0.872	0.767	0.885	0.77	0.898	0.783	0.845	0.739	0.853	0.816	0.842	0.835	0.774	0.755	0.797	0.958	0.819	0.842	0.841	0.795	0.816	0.846	0.793	0.825	0.812	0.809
Z13-A	0.951	0.451	0.49	0.343	0.488	0.983	0.963	0.729	0.0	0.342	0.181	0.359	0.364	0.332	0.719	0.606	0.297	0.426	0.516	0.33	0.512	0.415	0.334	0.329	0.951	0.914	0.573	0.939	0.834	0.35	0.755	0.375	0.981	0.376	0.383	0.96	0.942	0.992	0.523	0.817	0.905	0.829	0.847	0.333	0.813	0.508	0.916	0.671	0.731	0.266	0.397	0.556	0.336	0.738	0.268	0.583	0.696	0.967	0.305	0.722	0.323	0.657	0.394	0.354	0.357	0.349	0.702	0.301
Z13-C	0.988	0.531	0.445	0.514	0.546	0.949	0.846	0.77	0.342	0.0	0.367	0.525	0.533	0.464	0.599	0.51	0.493	0.502	0.513	0.506	0.438	0.526	0.524	0.523	0.907	0.965	0.542	0.812	0.848	0.403	0.629	0.49	0.872	0.481	0.527	0.863	0.942	0.871	0.546	0.816	0.897	0.851	0.807	0.394	0.763	0.512	0.966	0.692	0.759	0.414	0.535	0.53	0.53	0.693	0.432	0.597	0.74	0.989	0.494	0.624	0.515	0.713	0.513	0.479	0.529	0.53	0.729	0.529
