	EX-CTR	Z1-A	Z1-C	Z1-N	Z1-R	Z11-C	Z11-N	Z11-R	Z13-A	Z13-C	Z13-N	Z18-A	Z18-C	Z18-R	Z23-C	Z23-N	Z23-R	Z26-C	Z26-N	Z26-R	Z28-A	Z28-C	Z28-N	Z28-R	Z29-A	Z29-C	Z29-N	Z29-R	Z32-A	Z32-C	Z32-N	Z32-R	Z36-A	Z36-C	Z36-N	Z36-R	Z39-A	Z39-N	Z39-R	Z4-A	Z4-C	Z4-N	Z4-R	Z40-A	Z40-C	Z40-N	Z40-R	Z43-C	Z43-N	Z43-R	Z44-A	Z44-C	Z44-N	Z45-A	Z45-C	Z45-N	Z45-R	Z46-C	Z46-N	Z46-R	Z5-A	Z5-C	Z5-N	Z5-R	Z6-A	Z6-C	Z6-N	Z6-R
EX-CTR	0.0	0.9852941176470589	0.9821428571428571	0.9863013698630136	0.9866666666666667	1.0	1.0	0.95	0.9538461538461539	0.9811320754716981	0.9761904761904762	1.0	1.0	0.9833333333333333	0.9777777777777777	1.0	0.9852941176470589	0.9642857142857143	0.9696969696969697	0.9324324324324325	1.0	0.9866666666666667	1.0	1.0	0.9523809523809523	0.9863013698630136	0.9795918367346939	0.9838709677419355	0.984375	0.975	0.9629629629629629	0.9672131147540983	0.9574468085106383	1.0	0.9666666666666667	0.9824561403508771	0.9895833333333334	1.0	0.9886363636363636	0.9850746268656716	1.0	0.9850746268656716	0.9636363636363636	0.9746835443037974	0.9523809523809523	1.0	0.9683544303797469	0.9767441860465116	1.0	0.9841269841269841	0.9761904761904762	0.9726027397260274	0.9672131147540983	0.974025974025974	1.0	0.9444444444444444	0.9696969696969697	0.9852941176470589	0.9827586206896551	1.0	1.0	0.9342105263157895	0.9827586206896551	1.0	0.9866666666666667	0.9824561403508771	0.9661016949152542	0.9545454545454546
Z1-A	0.9852941176470589	0.0	0.8	0.7166666666666667	0.6833333333333333	0.9090909090909091	0.8548387096774194	0.8552631578947368	0.660377358490566	0.7608695652173914	0.8205128205128205	0.7884615384615384	0.813953488372093	0.6382978723404256	0.775	0.7377049180327869	0.6909090909090909	0.7291666666666666	0.8068181818181818	0.8450704225352113	0.7169811320754716	0.765625	0.7	0.6226415094339622	0.85	0.9154929577464789	0.7674418604651163	0.9846153846153847	0.8275862068965517	0.7857142857142857	0.7916666666666666	0.8214285714285714	0.9166666666666666	0.8392857142857143	0.7962962962962963	0.9107142857142857	0.9010989010989011	0.9767441860465116	0.7894736842105263	0.890625	0.8113207547169812	0.7090909090909091	0.8235294117647058	0.8648648648648649	1.0	0.8269230769230769	0.9559748427672956	0.8026315789473685	0.6666666666666666	0.7358490566037735	0.7894736842105263	0.7213114754098361	0.7058823529411765	0.8450704225352113	0.8085106382978723	0.7755102040816326	0.8333333333333334	0.8387096774193549	0.6521739130434783	0.868421052631579	0.7454545454545455	0.8493150684931506	0.76	0.6585365853658537	0.7846153846153846	0.7291666666666666	0.7450980392156863	0.7142857142857143
Z1-C	0.9821428571428571	0.8	0.0	0.7962962962962963	0.864406779661017	0.8387096774193549	0.7708333333333334	0.8461538461538461	0.8431372549019608	0.7837837837837838	0.7407407407407407	0.813953488372093	0.78125	0.7906976744186046	0.7241379310344828	0.8181818181818182	0.8235294117647058	0.775	0.8795180722891566	0.8135593220338984	0.8333333333333334	0.8245614035087719	0.7878787878787878	0.8490566037735849	0.8125	0.9166666666666666	0.71875	0.9811320754716981	0.8571428571428571	0.8939393939393939	0.8095238095238095	0.8	0.9473684210526315	0.7954545454545454	0.7954545454545454	0.9111111111111111	0.9	0.9333333333333333	0.8405797101449275	0.8867924528301887	0.7560975609756098	0.7708333333333334	0.7692307692307693	0.8571428571428571	1.0	0.8333333333333334	0.9379310344827586	0.855072463768116	0.7878787878787878	0.7777777777777778	0.7407407407407407	0.8214285714285714	0.8	0.8333333333333334	0.8108108108108109	0.7692307692307693	0.8518518518518519	0.8888888888888888	0.7804878048780488	0.8253968253968254	0.8125	0.8571428571428571	0.75	0.7714285714285715	0.8245614035087719	0.8048780487804879	0.8181818181818182	0.8235294117647058
Z1-N	0.9863013698630136	0.7166666666666667	0.7962962962962963	0.0	0.7272727272727273	0.8958333333333334	0.8125	0.8641975308641975	0.7540983606557377	0.7346938775510204	0.8409090909090909	0.8275862068965517	0.8333333333333334	0.7222222222222222	0.8260869565217391	0.7761194029850746	0.7377049180327869	0.7777777777777778	0.8172043010752689	0.84	0.7833333333333333	0.782608695652174	0.7333333333333333	0.7213114754098361	0.84375	0.9620253164556962	0.8163265306122449	0.9710144927536232	0.8769230769230769	0.8157894736842105	0.7894736842105263	0.8166666666666667	0.9245283018867925	0.8135593220338984	0.7931034482758621	0.9354838709677419	0.9175257731958762	0.9574468085106383	0.8170731707317073	0.9295774647887324	0.7857142857142857	0.711864406779661	0.8392857142857143	0.8441558441558441	1.0	0.8620689655172413	0.9573170731707317	0.8148148148148148	0.7333333333333333	0.7368421052631579	0.7857142857142857	0.7424242424242424	0.7543859649122807	0.8552631578947368	0.8490566037735849	0.7735849056603774	0.8888888888888888	0.9154929577464789	0.6862745098039216	0.8181818181818182	0.7457627118644068	0.8734177215189873	0.7358490566037735	0.6363636363636364	0.8	0.7547169811320755	0.7894736842105263	0.7580645161290323
Z1-R	0.9866666666666667	0.6833333333333333	0.864406779661017	0.7272727272727273	0.0	0.9215686274509803	0.8181818181818182	0.8536585365853658	0.78125	0.7924528301886793	0.8478260869565217	0.8135593220338984	0.8163265306122449	0.7321428571428571	0.8333333333333334	0.7272727272727273	0.7258064516129032	0.7857142857142857	0.8210526315789474	0.8441558441558441	0.7288135593220338	0.8055555555555556	0.7708333333333334	0.7301587301587301	0.8656716417910447	0.9090909090909091	0.8235294117647058	0.9420289855072463	0.828125	0.8051948051948052	0.7631578947368421	0.8225806451612904	0.9074074074074074	0.819672131147541	0.819672131147541	0.9032258064516129	0.9191919191919192	1.0	0.8214285714285714	0.835820895522388	0.8135593220338984	0.7419354838709677	0.8448275862068966	0.8765432098765432	1.0	0.847457627118644	0.9515151515151515	0.7901234567901234	0.7446808510638298	0.7666666666666667	0.8222222222222222	0.75	0.7833333333333333	0.8441558441558441	0.8113207547169812	0.8245614035087719	0.7956989247311828	0.8208955223880597	0.7454545454545455	0.8076923076923077	0.711864406779661	0.8625	0.8103448275862069	0.6808510638297872	0.8055555555555556	0.7857142857142857	0.7321428571428571	0.765625
Z11-C	1.0	0.9090909090909091	0.8387096774193549	0.8958333333333334	0.9215686274509803	0.0	0.7297297297297297	0.8333333333333334	0.8536585365853658	0.7307692307692307	0.7058823529411765	0.8857142857142857	0.8260869565217391	0.8888888888888888	0.8095238095238095	0.8958333333333334	0.8837209302325582	0.84375	0.92	0.8846153846153846	0.9	0.9	0.8333333333333334	0.9111111111111111	0.8461538461538461	0.9607843137254902	0.7916666666666666	0.95	0.8717948717948718	0.9107142857142857	0.8947368421052632	0.8	0.9230769230769231	0.8611111111111112	0.8285714285714286	0.9428571428571428	0.9444444444444444	0.8888888888888888	0.8852459016393442	0.9069767441860465	0.8529411764705882	0.8809523809523809	0.8387096774193549	0.9090909090909091	0.9545454545454546	0.84375	0.9784172661870504	0.9016393442622951	0.8333333333333334	0.868421052631579	0.7777777777777778	0.8979591836734694	0.8947368421052632	0.8846153846153846	0.8148148148148148	0.8	0.92	0.9565217391304348	0.8484848484848485	0.8928571428571429	0.9024390243902439	0.9285714285714286	0.8484848484848485	0.8076923076923077	0.8775510204081632	0.8787878787878788	0.8571428571428571	0.9090909090909091
Z11-N	1.0	0.8548387096774194	0.7708333333333334	0.8125	0.8181818181818182	0.7297297297297297	0.0	0.7352941176470589	0.8135593220338984	0.782608695652174	0.7837837837837838	0.8301886792452831	0.8372093023255814	0.8333333333333334	0.8	0.7936507936507936	0.8166666666666667	0.8235294117647058	0.8314606741573034	0.8591549295774648	0.8448275862068966	0.8529411764705882	0.8409090909090909	0.8571428571428571	0.8275862068965517	0.9295774647887324	0.8181818181818182	0.9166666666666666	0.8245614035087719	0.88	0.8055555555555556	0.7962962962962963	0.8666666666666667	0.8363636363636363	0.8363636363636363	0.9285714285714286	0.9239130434782609	0.925	0.8333333333333334	0.8709677419354839	0.7843137254901961	0.75	0.8431372549019608	0.8933333333333333	0.9777777777777777	0.8461538461538461	0.9556962025316456	0.8607594936708861	0.813953488372093	0.8421052631578947	0.8157894736842105	0.8676470588235294	0.8392857142857143	0.8428571428571429	0.7777777777777778	0.7708333333333334	0.8695652173913043	0.9076923076923077	0.803921568627451	0.7681159420289855	0.7857142857142857	0.8783783783783784	0.803921568627451	0.7441860465116279	0.835820895522388	0.8461538461538461	0.8333333333333334	0.873015873015873
Z11-R	0.95	0.8552631578947368	0.8461538461538461	0.8641975308641975	0.8536585365853658	0.8333333333333334	0.7352941176470589	0.0	0.7536231884057971	0.8387096774193549	0.8490566037735849	0.8529411764705882	0.8421052631578947	0.855072463768116	0.8571428571428571	0.85	0.8552631578947368	0.8307692307692308	0.8571428571428571	0.8313253012048193	0.863013698630137	0.8674698795180723	0.8833333333333333	0.8421052631578947	0.8493150684931506	0.9047619047619048	0.8666666666666667	0.9615384615384616	0.8309859154929577	0.8505747126436781	0.8539325842696629	0.8260869565217391	0.9193548387096774	0.8888888888888888	0.8405797101449275	0.9295774647887324	0.9150943396226415	0.9827586206896551	0.8241758241758241	0.9113924050632911	0.835820895522388	0.8378378378378378	0.8461538461538461	0.8876404494382022	0.9666666666666667	0.8656716417910447	0.8963414634146342	0.8602150537634409	0.8245614035087719	0.8285714285714286	0.8703703703703703	0.8658536585365854	0.875	0.872093023255814	0.873015873015873	0.8636363636363636	0.8785046728971962	0.8987341772151899	0.8507462686567164	0.8777777777777778	0.8333333333333334	0.8352941176470589	0.8507462686567164	0.8524590163934426	0.8536585365853658	0.7936507936507936	0.803030303030303	0.8243243243243243
Z13-A	0.9538461538461539	0.660377358490566	0.8431372549019608	0.7540983606557377	0.78125	0.8536585365853658	0.8135593220338984	0.7536231884057971	0.0	0.6341463414634146	0.7837837837837838	0.8518518518518519	0.8372093023255814	0.6595744680851063	0.7368421052631579	0.7540983606557377	0.7321428571428571	0.6363636363636364	0.8045977011494253	0.875	0.7115384615384616	0.7619047619047619	0.6923076923076923	0.7142857142857143	0.8070175438596491	0.9142857142857143	0.7906976744186046	0.984375	0.8035714285714286	0.746268656716418	0.821917808219178	0.8181818181818182	0.9148936170212766	0.8363636363636363	0.8363636363636363	0.9090909090909091	0.9239130434782609	0.9761904761904762	0.7866666666666666	0.8888888888888888	0.8076923076923077	0.7272727272727273	0.7959183673469388	0.863013698630137	0.9302325581395349	0.8461538461538461	0.9285714285714286	0.8	0.6216216216216216	0.7307692307692307	0.75	0.6724137931034483	0.75	0.8260869565217391	0.8043478260869565	0.7446808510638298	0.8314606741573034	0.890625	0.5813953488372093	0.8513513513513513	0.7407407407407407	0.8142857142857143	0.7291666666666666	0.6829268292682927	0.7619047619047619	0.723404255319149	0.6875	0.7321428571428571
Z13-C	0.9811320754716981	0.7608695652173914	0.7837837837837838	0.7346938775510204	0.7924528301886793	0.7307692307692307	0.782608695652174	0.8387096774193549	0.6341463414634146	0.0	0.6521739130434783	0.7692307692307693	0.7142857142857143	0.6	0.6923076923076923	0.7346938775510204	0.7045454545454546	0.7567567567567568	0.8157894736842105	0.8448275862068966	0.7073170731707317	0.7692307692307693	0.6296296296296297	0.7659574468085106	0.8	0.9491525423728814	0.7333333333333333	0.9591836734693877	0.7954545454545454	0.7719298245614035	0.7796610169491526	0.7560975609756098	0.9428571428571428	0.75	0.75	0.9302325581395349	0.9102564102564102	0.9259259259259259	0.7777777777777778	0.9019607843137255	0.7368421052631579	0.6976744186046512	0.7837837837837838	0.8305084745762712	0.9333333333333333	0.7894736842105263	0.9513888888888888	0.7936507936507936	0.5769230769230769	0.6666666666666666	0.5909090909090909	0.7142857142857143	0.725	0.8035714285714286	0.71875	0.7142857142857143	0.8607594936708861	0.9245283018867925	0.6571428571428571	0.8360655737704918	0.7142857142857143	0.85	0.6176470588235294	0.5185185185185185	0.7450980392156863	0.6857142857142857	0.6756756756756757	0.8125
