	EX-CTR	Z1-A	Z1-C	Z1-N	Z1-R	Z11-C	Z11-N	Z11-R	Z13-A	Z13-C	Z13-N	Z18-A	Z18-C	Z18-R	Z23-C	Z23-N	Z23-R	Z26-C	Z26-N	Z26-R	Z28-A	Z28-C	Z28-N	Z28-R	Z29-A	Z29-C	Z29-N	Z29-R	Z32-A	Z32-C	Z32-N	Z32-R	Z36-A	Z36-C	Z36-N	Z36-R	Z39-A	Z39-N	Z39-R	Z4-A	Z4-C	Z4-N	Z4-R	Z40-A	Z40-C	Z40-N	Z40-R	Z43-C	Z43-N	Z43-R	Z44-A	Z44-C	Z44-N	Z45-A	Z45-C	Z45-N	Z45-R	Z46-C	Z46-N	Z46-R	Z5-A	Z5-C	Z5-N	Z5-R	Z6-A	Z6-C	Z6-N	Z6-R
EX-CTR	0.0	0.8250782484806679	0.8343323181323408	0.7845390183109634	0.7989471236628118	0.9319921389912278	0.8283996562935411	0.784629642080681	0.838384655083117	0.8414680461143436	0.8331842755090157	0.8802868830439705	0.8745924234245431	0.8676597595506682	0.8962659279654133	0.8182090151160455	0.8426630062095496	0.8474118769082278	0.8111371367203289	0.8171602512393553	0.8736229750343452	0.8828108440139589	0.9288788280153301	0.8373004744677317	0.7886792024423892	0.8552460425371795	0.855894272130202	0.8035212427291827	0.8481850603038678	0.8289645818140071	0.8346508119941203	0.7908484004224161	0.8575390448080776	0.839499315323883	0.8407864956470654	0.8498673320225957	0.7782656950385343	0.8876478479233699	0.8173705639406881	0.8730013364897156	0.8802906046011861	0.8733735367871196	0.7813111894230669	0.8020604512183972	0.7208562513468096	0.786426340676279	0.7696464116993831	0.776613312332527	0.9235307670798654	0.8471422755099578	0.9115130549290094	0.7566340376065229	0.8398287603689019	0.798190414225181	0.80211173395929	0.8415327429805902	0.7970249054619967	0.7990014058914445	0.8141170794784265	0.8493958853126246	0.8287791238337756	0.7071125984499808	0.8681410752508353	0.8750219039662529	0.8175331553790471	0.8691092470277471	0.8929369190655807	0.8103168916703015
Z1-A	0.8250782484806679	0.0	0.7563901917654312	0.5276704845250115	0.5160667530282185	0.838284480744148	0.4938956961496312	0.5572788323542709	0.7043691936861689	0.7629599736853868	0.77050308755288	0.5741394055842156	0.8084572685787256	0.5393104553400263	0.8051888377717714	0.5305015938967111	0.5012143618561153	0.7661130277294813	0.5403932738103575	0.6399090278470798	0.8072846941518904	0.782027901343381	0.8223020763024141	0.5508589518280029	0.7429615877937202	0.7859622729798468	0.7793305069484611	0.8558344484947342	0.7779228605452386	0.5123380902257052	0.6224899103319181	0.73799500206891	0.8220487553614941	0.5183331909577936	0.50621245539633	0.8048850790772405	0.5578521808522215	0.9173425357847569	0.5664576094958982	0.8092090481923705	0.8236436683299925	0.6103614742488379	0.7328296479505382	0.7752482835664485	0.8972455798451501	0.7411145219059527	0.8026922022155114	0.48508416106773156	0.8129549281712768	0.7944604007949652	0.8215083019707531	0.7331853473687793	0.5059771384106807	0.7811686094447473	0.7583900735317186	0.5733666534448864	0.7637372920236133	0.5313885729446577	0.7382143916715737	0.7789787325230308	0.5529727700948178	0.7651141456637984	0.7730404079110476	0.5079878637031396	0.7682759131900995	0.8164964831165197	0.5598154361047792	0.4991953313853516
Z1-C	0.8343323181323408	0.7563901917654312	0.0	0.7200384563485271	0.716342937734322	0.6684562201302712	0.6931335088320235	0.7133923301798094	0.5624422118058736	0.5277322239580348	0.4577483377062829	0.683271445315146	0.57318904732041	0.715686861071372	0.53630127673788	0.6874079931010862	0.7147571808362327	0.5924371571116662	0.711758737659077	0.802908688747202	0.6677929452817359	0.7333748706483727	0.5200339501686871	0.7200989455615336	0.4486196003460918	0.659925595480394	0.45144595330845727	0.8564472572274372	0.6444223735750707	0.738142490908103	0.7381496439928624	0.508023218034893	0.6493814026303311	0.7045674382416027	0.7186230238294408	0.6708123915405492	0.7417070011839012	0.8427954112028488	0.707747460144979	0.7066544864309126	0.6865931841546067	0.7713450830221843	0.5122786080420488	0.6290572476050118	0.8067982528630728	0.5002860596998715	0.7628675685365242	0.704716006916556	0.5513449498191425	0.627056622271491	0.5555875809868882	0.5265770274485055	0.7030078162683439	0.6086489549760851	0.459342369009646	0.6736440466078513	0.6290845846241192	0.7000453559499805	0.5303852845263307	0.505713399366975	0.6394700530939762	0.628791261157992	0.5240102811036842	0.6762420353969241	0.5760371641110749	0.6880449180788435	0.6508199182146689	0.6771965100118678
Z1-N	0.7845390183109634	0.5276704845250115	0.7200384563485271	0.0	0.41300457321434936	0.8327986665031363	0.4094224626170148	0.4786395878542761	0.7561815289202707	0.7451162399756834	0.7369969767174301	0.7803481784713323	0.7732905410420868	0.3860956657867782	0.785133959626311	0.47513738807736855	0.4723496712658716	0.7695388640817229	0.4584430645789591	0.5098407330432526	0.7981978963147284	0.7316111637084174	0.7982478036501237	0.3300630273115283	0.6951105942096679	0.755212223421681	0.777515294271646	0.8591956091806056	0.7341566735746344	0.5265797220285454	0.7622384977780202	0.722855293259309	0.7743682578454205	0.4509685580010365	0.4453667472975998	0.7851444216106195	0.4889081428251626	0.9043566197955798	0.7674446783631905	0.7726356037167875	0.7961339648988359	0.5405094890090566	0.72074214916995	0.7189199237177791	0.8666903395568394	0.7044658302438174	0.7562946025158448	0.4174020730476497	0.7881747760385599	0.7475169539450809	0.7968390115364141	0.7047860886580803	0.39712951942380337	0.7298895718340837	0.6259048416093755	0.7616816040595659	0.7064800128590947	0.44735129909450977	0.6832960728654113	0.7182210271787993	0.7536751743131692	0.7053434762405459	0.7391999920947441	0.43766074757442314	0.7177174420034892	0.8049086435545104	0.8041831726738573	0.44360685059265825
Z1-R	0.7989471236628118	0.5160667530282185	0.716342937734322	0.41300457321434936	0.0	0.8127371016538651	0.373229185726561	0.4485663269734449	0.7150545100008328	0.7461776323317552	0.7294675016829867	0.7596176753622098	0.7593470383386272	0.4787811015960202	0.7644445425057685	0.4398510096630115	0.40668533410829266	0.7285832123813457	0.4003763747369279	0.5311837493592083	0.7773236615317081	0.7770405010270283	0.7906590700940261	0.4368202123705162	0.6496470797599799	0.7268539672051736	0.7229597301304289	0.882672416521811	0.7140001196122415	0.48081824847956156	0.7423088617062085	0.6816445796553442	0.7682534938715055	0.3898711824493664	0.3655872676727803	0.761482485229665	0.4782259878810708	0.9297048009630371	0.75323029824175	0.7471644193991275	0.7734605852015861	0.5047696029716833	0.720899317860948	0.6939755958563749	0.8544680970929096	0.6527436886413794	0.7640194001151822	0.4072478049228198	0.7623467456030116	0.7202187068808839	0.78083400985722	0.6809247404149014	0.35952844631682357	0.6811817515071619	0.7227148888102423	0.7659442952748081	0.7026108193715087	0.43329373592563897	0.6818242280279884	0.6741724182152335	0.7355566292091189	0.686699304588836	0.7088756880348486	0.39997163366315097	0.6962953860584798	0.7709968602708162	0.7794963733412054	0.36170071118282615
Z11-C	0.9319921389912278	0.838284480744148	0.6684562201302712	0.8327986665031363	0.8127371016538651	0.0	0.7695163160043991	0.8173557002104864	0.7098007499676384	0.6572521847744973	0.624901166227454	0.7901040818433523	0.683496266703385	0.7984744131869456	0.6803620519792636	0.8082658155383605	0.7881514616267282	0.7107580917760586	0.8116682832641897	0.6728897073815792	0.7577463796799195	0.8082837632655976	0.6954502048989846	0.8100774087056526	0.6848553217286729	0.47007236746518055	0.6220893083924071	0.6544192229463194	0.4161137735119273	0.8336087528336981	0.8122356071158248	0.7120007371001555	0.20912513256525692	0.793480715845746	0.7771346433306553	0.3397560114394632	0.8419086025277237	0.48971964288633135	0.8111274862692307	0.4878176248375577	0.28549474320016927	0.537880411269201	0.6876552248470924	0.7584697653991922	0.8864634572170498	0.7062765663809781	0.684591073545388	0.8119701872118138	0.6267937504693127	0.7825123512439335	0.6489523334796532	0.6994582318954694	0.7827763806112144	0.7405462740621672	0.694370004429185	0.7643310284377659	0.7850364484157183	0.8144332975748494	0.6970664596805631	0.6929204115553906	0.7552876866605743	0.7753804655023563	0.655290511298027	0.749440884713347	0.7430978728429527	0.7634590488795535	0.7374636674492381	0.8023911841981741
Z11-N	0.8283996562935411	0.4938956961496312	0.6931335088320235	0.4094224626170148	0.373229185726561	0.7695163160043991	0.0	0.40827573613587753	0.6998871489314722	0.7159081501630066	0.7069543080091416	0.74773700585813	0.7257145856765295	0.396604501978118	0.7200855319705879	0.39256640282018	0.3204703103465188	0.6988518210687424	0.351302495402441	0.5894848759098874	0.7392067570286692	0.7694552295575156	0.7296012982267436	0.3633654822740089	0.6173641790935901	0.7333574863010636	0.6887070003188861	0.8846091774967249	0.7192377053341646	0.4789153112482321	0.7545846121635446	0.690755069860654	0.7374722028839448	0.33076592658788256	0.2920083785202016	0.7359747836662345	0.47536037384978225	0.9166730278868455	0.771022258155771	0.7575316011133729	0.7556005720123906	0.42061739720890007	0.6870041654303346	0.7078539046037173	0.8423975396954171	0.6900453234797174	0.808883602816829	0.3741809783523659	0.6962085749947439	0.733323962170614	0.71417020422949	0.6786980490282966	0.24058502345147864	0.6926706211565457	0.683172381053232	0.7108355917243586	0.7296813934366307	0.39864676275991917	0.6474371911576428	0.6331734642164553	0.7163458640331986	0.7315867515570261	0.6405077205597405	0.23211468459360685	0.6994971122528195	0.7600275391911955	0.7565568568223912	0.38901779759865857
Z11-R	0.784629642080681	0.5572788323542709	0.7133923301798094	0.4786395878542761	0.4485663269734449	0.8173557002104864	0.40827573613587753	0.0	0.7080384422809661	0.7273053345244861	0.737753805558717	0.7896828543472548	0.7226071346187619	0.505311913575533	0.7858035092971167	0.3529972715535309	0.4637503134529094	0.7500332350890888	0.41783536449719055	0.5588406340680308	0.7733732729532705	0.8066570025052181	0.7971368857539105	0.4748414845232231	0.6586162468896625	0.7426413456135212	0.7534594093666721	0.8757717758146604	0.7179111924062573	0.4572715908348215	0.7925477985332363	0.6620433253653346	0.7719558768012951	0.4412029274255433	0.4313719480484457	0.7384161562568634	0.4638473337942693	0.9118295388765907	0.7321854387081324	0.7652267902599303	0.792639700685326	0.5404647651874277	0.704175472657901	0.7293833601844026	0.8627063842287516	0.6867681613286584	0.7375445913190924	0.3825427387333756	0.7821006263963928	0.7464740582671672	0.7897175403712976	0.641856062641947	0.4399063018585052	0.7038179391457624	0.7170554566545061	0.7735881178860202	0.7290520433914705	0.4523130185509161	0.6830436641982565	0.7172753512357406	0.7258901363634683	0.650052268422487	0.7455432130710332	0.4480369697889359	0.7133730170075887	0.7554785106087939	0.7806375434081547	0.42770536082272215
Z13-A	0.838384655083117	0.7043691936861689	0.5624422118058736	0.7561815289202707	0.7150545100008328	0.7098007499676384	0.6998871489314722	0.7080384422809661	0.0	0.4191871330430021	0.5541829192211488	0.736711458141594	0.6707386188018631	0.6802843081351946	0.5956729972766778	0.6618756221095169	0.647747382037871	0.6041261751521029	0.7256840195519982	0.8081974798735813	0.6676128648071724	0.6932560655327477	0.6499363577955393	0.7565478888296379	0.5673436694572973	0.7127750165539337	0.5828523382117321	0.8621014114985606	0.6941163758066032	0.6739362395561594	0.7393029723650539	0.5463473013216925	0.6986886432118481	0.6759444447588677	0.7303521283422164	0.6940832290356314	0.7363775081495456	0.8924636158424691	0.6738546142257918	0.700737981558346	0.7306769588162112	0.7724891127636954	0.6020861316945303	0.6641014777618924	0.7916579465985835	0.5623428273206553	0.8071608845235637	0.7125394511220675	0.6276426592851432	0.6955381837203937	0.6017718597502622	0.5386736703406263	0.7354395355525032	0.6465665556455411	0.5756375667412271	0.68833725290808	0.6806663162407885	0.7353796349065094	0.6010511238517866	0.6282933446123146	0.6351616880580147	0.6662284100108382	0.4691920451304898	0.7126998524670636	0.5809446422661523	0.7044377949753324	0.6592979008117595	0.7067592762096366
Z13-C	0.8414680461143436	0.7629599736853868	0.5277322239580348	0.7451162399756834	0.7461776323317552	0.6572521847744973	0.7159081501630066	0.7273053345244861	0.4191871330430021	0.0	0.2958009112185454	0.7234300779032826	0.5604945428403114	0.6619567300669262	0.5327547333955492	0.6617898425767396	0.6301097356722251	0.6092295760129712	0.7411374053424626	0.8078042835023505	0.679925582187034	0.7615305225716091	0.5744963603890535	0.7524684916209889	0.5786225292723103	0.7348253387759782	0.5390384240687276	0.8597951484315242	0.6825007620056993	0.7611724841965283	0.74084658395645	0.5323821682426823	0.6872866114453052	0.6638805341408026	0.7194062962211181	0.7026491379504881	0.7576456075577251	0.8631140659986501	0.7172693491980753	0.7378250186590142	0.7137518126019924	0.7889600245846919	0.5610631498213529	0.6916021214558291	0.7883603083941135	0.5239843530714472	0.8130001669957077	0.7166704689554076	0.5108962530236763	0.6825407002305882	0.44776295833004154	0.4813852286756571	0.7304854868257827	0.625352603005589	0.5518902336281042	0.6546647956363638	0.6815112725442476	0.7611470280944276	0.5477637161240362	0.6357624944029908	0.6161550514914458	0.6676290483378019	0.4058531974615875	0.6885606757058998	0.6047876518085399	0.7161887340522158	0.6594478667130548	0.7072707450183926
