#OTU ID,Z1-A,Z1-C,Z1-N,Z1-R,Z11-A,Z11-C,Z11-N,Z11-R,Z13-A,Z13-C,Z13-N,Z18-A,Z18-C,Z18-R,Z23-C,Z23-N,Z23-R,Z26-C,Z26-N,Z26-R,Z28-A,Z28-C,Z28-N,Z28-R,Z29-A,Z29-C,Z29-N,Z29-R,Z32-A,Z32-C,Z32-N,Z32-R,Z36-A,Z36-C,Z36-N,Z36-R,Z39-A,Z39-N,Z39-R,Z4-A,Z4-C,Z4-N,Z4-R,Z40-A,Z40-C,Z40-N,Z40-R,Z43-C,Z43-N,Z43-R,Z44-A,Z44-C,Z44-N,Z45-A,Z45-C,Z45-N,Z45-R,Z46-C,Z46-N,Z46-R,Z5-A,Z5-C,Z5-N,Z5-R,Z6-A,Z6-C,Z6-N,Z6-R
5e2a5c212bc5883e95a9516fc877b27c,0,0,0,0,0,135,140,2445,3893,2485,568,0,0,0,0,0,11,498,8097,54,0,0,0,0,546,370,0,333,1147,7708,487,1062,0,0,0,0,0,0,452,0,0,0,0,5132,4789,4222,590,25570,0,1142,0,0,8,10454,1552,11061,679,0,0,0,0,0,0,0,0,0,0,0
009f253c714be68cc604a118e3e05558,0,1663,186,0,0,1808,4577,20,0,1646,0,0,0,0,0,3997,669,0,874,58,0,321,0,0,3810,0,787,1050,0,0,2249,6,29085,758,106,4872,0,16326,459,55,218,189,997,0,0,0,0,58,0,0,0,1808,0,2169,0,332,583,0,165,7040,0,0,81,597,0,0,0,0
2bd7c794989367516df4c468a397b257,711,539,2397,2082,0,0,134,893,2372,1099,240,2363,1970,2862,190,1229,2928,695,1965,322,1703,3100,1098,2790,158,38,609,0,279,1774,454,2752,0,1591,1994,0,575,0,1191,0,346,1287,165,2596,0,729,119,854,102,1222,307,1705,1196,194,1692,874,1087,103,675,1605,3010,1348,1417,2563,2808,3578,479,1303
e093ec98cfe3faaac29efef98d3d3e5c,670,483,2153,1912,0,0,109,764,2055,992,202,2086,1796,2519,146,1148,2351,552,1772,281,1521,2603,1019,2347,115,0,507,0,216,1553,417,2477,0,1514,1700,0,474,0,990,0,320,977,113,2439,0,583,61,677,128,996,247,1530,974,190,1367,672,994,49,538,1343,2522,1104,1054,2282,2554,3029,433,1108
cf56e576fc47b79792a7fa4f89add4a2,0,0,0,0,0,26461,816,183,154,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,30,0,0,0,0,34874,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,359,0,1235,0
4e3efcca958ce10c9d5ea49b1c26d270,618,512,1878,1642,24,84,137,677,1820,957,190,1874,1562,2246,130,974,2284,561,1563,258,1296,2341,946,2182,113,0,495,0,218,1364,353,2181,0,1404,1582,0,467,0,893,0,325,994,114,2067,0,487,0,706,95,982,219,1345,1023,168,1347,625,985,0,579,1269,2405,1098,1145,2032,2275,2616,382,1092
c7ea01bd0567f2b42169dfde97a6a3fa,575,405,1930,1524,118,106,118,713,1792,773,178,1826,1464,2210,120,1015,2200,522,1538,288,1344,2286,798,2065,104,0,504,0,206,1333,355,2047,0,1280,1484,110,405,0,913,80,296,924,127,2046,0,531,57,645,86,970,234,1277,941,131,1226,741,866,0,574,1206,2295,1059,1011,1956,2195,2523,408,983
22a5f69dcf256ae504bf745356baa5be,560,533,1898,1559,74,111,107,644,1754,861,157,1685,1438,2112,101,938,2224,522,1446,209,1337,2123,770,2010,87,0,481,0,196,1260,344,2068,0,1324,1438,0,462,0,875,143,298,900,126,1968,0,520,52,675,79,1035,214,1260,887,152,1204,669,902,78,536,1150,2181,929,1066,1844,2126,2512,357,1047
39547c6b93044d5e2b234521952c683f,574,449,1749,1546,0,0,105,655,1755,814,194,1726,1458,2187,131,927,2161,528,1431,255,1301,2208,845,2132,100,0,466,0,180,1238,350,1884,0,1301,1445,0,389,0,876,107,295,940,116,2019,0,534,67,679,84,956,217,1335,938,120,1198,646,830,0,527,1149,2218,964,1004,1955,2320,2547,362,1042
78de368e2228a18ef5de41b81a60cbbe,527,485,1797,1568,141,30,107,641,1653,864,182,1742,1421,2168,114,1070,1987,499,1503,247,1300,2218,881,2036,84,0,458,0,154,1238,318,1948,0,1237,1319,0,397,0,856,64,265,970,129,1999,0,489,58,620,105,826,219,1280,897,145,1171,651,817,77,464,1127,2144,1036,911,1912,2113,2460,382,876
c8780bed3ab2556ea86a17c52ace1d70,0,9,0,0,0,0,175,143,0,0,0,0,0,0,0,955,0,0,3036,85,0,0,0,0,0,0,0,0,0,0,0,0,105,71,0,0,0,9,78,53,8946,36893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,925,968,0,2003,0,0,0
2e2af69fce091b60c3ae1066b3d0282e,0,0,0,589,0,0,0,0,0,0,0,0,0,0,0,0,0,475,180,10,0,0,0,0,0,0,0,0,0,668,0,0,1331,132,703,38,4,0,0,996,4669,1720,532,0,0,0,0,4694,0,256,0,819,0,4991,1823,2179,1679,18834,0,284,182,509,0,0,422,0,1273,166
62e79efd15b92473e25da73b597c7125,0,0,0,0,0,14730,15887,9473,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,0,0,0
