index,Unassigned;__,d__Bacteria;__,d__Bacteria;p__Acidobacteriota,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__Campilobacterota,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Cyanobacteria,d__Bacteria;p__Deinococcota,d__Bacteria;p__Elusimicrobiota,d__Bacteria;p__Fibrobacterota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Fusobacteriota,d__Bacteria;p__Latescibacterota,d__Bacteria;p__Myxococcota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Spirochaetota,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;p__Zixibacteria,d__Eukaryota;__,d__Eukaryota;p__Basidiomycota
Z1-A,922,4255,0,911,8,0,30,0,55,0,0,0,1253,0,0,0,0,0,1308,0,0,0,0,55
Z1-C,0,3406,0,163,14,0,0,0,0,0,0,0,1951,0,0,0,0,0,1943,0,0,85,0,0
Z1-N,1045,13802,0,352,674,0,0,0,0,0,0,0,1255,0,0,0,0,0,1281,0,0,0,0,0
Z1-R,883,11836,0,3325,60,0,0,0,0,0,0,0,1925,0,0,0,0,0,6318,0,0,0,0,25
Z11-A,0,357,0,15,24,0,0,0,0,0,0,0,11,0,0,0,0,0,146,0,0,0,0,0
Z11-C,146,331,0,167,0,0,0,0,0,0,0,0,24,0,0,0,0,0,53928,0,0,0,0,0
Z11-N,235,819,0,208,20,20,0,0,10,0,0,0,425,0,0,0,4,0,36749,0,0,0,0,0
Z11-R,360,4995,0,3111,564,0,0,0,21,0,0,0,3279,126,0,0,0,0,20553,0,103,0,0,0
Z13-A,1210,13249,0,4244,113,0,0,0,0,0,0,0,905,0,0,0,0,0,1328,0,58,0,0,0
Z13-C,543,6377,0,4476,138,0,0,0,0,0,0,0,0,0,0,0,0,0,1966,0,0,0,0,0
Z13-N,0,1343,0,568,15,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0
Z18-A,475,13304,0,251,0,0,0,0,0,0,0,0,1331,0,0,0,0,0,2446,0,0,0,0,7
Z18-C,215,11114,0,989,0,0,0,0,0,0,0,0,1215,0,0,0,0,0,1335,0,0,0,0,0
Z18-R,1664,16664,0,1294,0,0,0,0,0,0,0,0,808,0,0,0,0,0,372,0,0,0,0,0
Z23-C,95,935,0,2730,0,0,0,0,0,0,0,0,133,0,0,0,3,0,0,0,0,0,0,0
Z23-N,436,7356,0,177,488,0,0,0,0,0,121,0,4210,0,0,0,0,0,7054,0,0,0,0,0
Z23-R,671,16165,0,1479,0,0,0,0,0,0,0,0,2274,0,0,0,0,0,889,0,0,0,0,3
Z26-C,645,3879,0,1079,0,0,0,0,0,0,0,0,1568,0,0,0,0,0,1455,0,0,0,0,0
Z26-N,791,11234,0,10152,467,0,0,0,0,0,6,108,11673,0,0,24,94,0,7180,0,7,0,0,0
Z26-R,91,1860,0,266,9,0,0,0,0,0,0,0,459,0,0,0,0,0,155,0,0,0,0,0
Z28-A,440,9819,0,6251,0,0,0,0,144,0,0,0,2094,0,0,0,0,0,3707,0,0,0,0,0
Z28-C,604,16910,0,936,8,0,0,0,0,0,0,0,8596,0,0,0,0,0,1744,0,0,0,0,0
Z28-N,502,6371,0,0,0,0,0,0,0,0,0,0,530,0,0,0,0,0,0,0,27,0,0,0
Z28-R,1196,15562,0,965,15,0,0,0,0,0,0,0,1235,0,0,0,0,0,772,0,0,0,0,0
Z29-A,0,761,0,4155,340,0,0,0,0,0,0,0,5285,1523,0,0,4,0,35842,0,0,0,0,0
Z29-C,15,43,0,1942,7,0,0,72,0,0,0,0,444,0,0,0,0,0,7448,0,0,0,0,0
Z29-N,0,4820,0,588,0,0,0,0,0,0,0,0,1487,0,0,0,0,0,1993,0,0,0,0,0
Z29-R,6,32,48,830,22,0,0,0,0,0,0,0,1603,0,0,0,0,0,2213,0,0,0,0,0
Z32-A,138,1449,0,2768,256,0,0,0,0,0,0,0,564,0,0,0,0,0,12363,0,0,0,0,0
