bird,treatment,sex,Lawsonella,Massilia,Microbacteriaceae.gen,Lactococcus,Streptococcus,Rickettsia,Sphingomonas,Bacillus,Pseudomonas,Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium,Enterococcus,Staphylococcus,Corynebacterium,Enterobacteriaceae.gen,Unassigned,Pantoea,Acinetobacter,Rothia,Unassigned Bacteria
Z1,A,M,0,0,0,0.051608503,0.019438445,0,0.009435035,0,0,0,0,0.03910424,0.056610208,0,0.104808457,0.000682051,0.11265204,0,0.483687621
Z1,C,M,0,0,0,0.009918011,0,0,0,0.004760645,0.030547474,0,0.001190161,0.190029093,0,0.003967204,0,0.219915366,0,0.019968262,0.450409944
Z1,N,M,0,0,0.006246944,0,0,0,0.01857787,0.041229833,0.010429681,0.002716063,0,0.000760498,0,0,0.056765712,0.010103754,0,0,0.749741974
Z1,R,M,0.008698506,0,0,0,0.014401773,0,0.000123092,0.019858854,0,0.206712621,0,0.007221402,0,0.000205153,0.0362301,0,0.027367471,0.024167077,0.485639258
Z11,A,M,0,0,0,0,0,0,0,0,0,0,0,0.014466546,0,0,0,0,0.103074141,0,0.64556962
Z11,C,M,0,0,0.000256429,0,0,0,0,0,0.000567807,0,0,0,0,0.484705839,0.002674189,0.033115979,0.469136933,0.002472709,0.006062715
Z11,N,M,0,0.000181865,0.000233827,0,0,0,5.20E-05,0.001454923,0.001870616,0.002260327,0.005222136,0.001221096,0.000519615,0.12281112,0.006105482,0.118914004,0.701299039,0.003637308,0.021278254
Z11,R,M,0.015825079,0.007006523,0,0,0.003291858,0.002808649,0.008244745,0.052458323,0.060129258,0.000664412,0.006281711,0.027754288,0.002144238,0.010328582,0.010872191,0.001842232,0.509029959,0.0738403,0.150851655
Z13,A,M,0,0.004074478,0.006395982,0,9.48E-05,0,0.000663287,0.000473776,0,0,0,0.042166106,0.008527977,0.007296158,0.057326953,0.006727626,0.020419766,0.184441181,0.627706448
Z13,C,M,0,0,0,0,0,0,0,0,0,0,0,0,0.137481481,0.004074074,0.040222222,0.121925926,0,0.194074074,0.47237037
Z13,N,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290240164,0.686254471
Z18,A,M,0,0,0,0,0.003480409,0,0.047041653,0,0,0.046424161,0,0.045862805,0,0,0.026664421,0,0,0,0.746828337
Z18,C,M,0.066518698,0,0,0,0,0.009079903,0,0,0.060936239,0,0,0,0,0,0.014460586,0,0,0,0.747511434
Z18,R,M,0,0,0,0.009422171,0.014373618,0,0,0.013316027,0.008412653,0,0,0.001730603,0.043409288,0,0.079992308,0,0,0,0.80107682
Z23,C,F,0,0,0,0,0,0,0,0,0,0,0,0.034137577,0.698151951,0,0.024383984,0,0,0,0.239989733
Z23,N,F,0.000403185,0,0,0,0.007660518,0.007761314,0.000100796,0.027567786,0.006954944,0,0.056647515,0.004132648,0.00216712,0,0.021973591,0.201441387,0.119997984,0,0.370728757
Z23,R,F,0.007169126,0,0.002048322,0,0.008193287,0,0,0.01345375,0,0,0,0.070201573,0,0,0.031236907,0.031143801,0,0.00051208,0.752525488
Z26,C,M,0,0,0,0,0,0,0.004173429,0,0.068861581,0,0,0.18061674,0.010897287,0,0.074773939,0,0.07141201,0.112798516,0.449686993
Z26,N,M,0,0.009823653,0.012171746,0,0.018784742,0,0.005151428,0.012195706,0.006373395,0.001174046,0.072742956,0.023361127,0.016197048,0,0.018952463,0.025253977,0.043152195,0.198317999,0.269168104
Z26,R,M,0.013380282,0,0.018661972,0.002816901,0.019014085,0,0.008450704,0,0.002112676,0,0.029929577,0.052816901,0.027464789,0,0.032042254,0.020422535,0,0.022535211,0.654929577
Z28,A,M,0.039501225,0.006991761,0.00748163,0,0,0,0,0,0.107682031,0,0,0.001736807,0.180806057,0,0.019594745,0,0.040480962,0,0.437274549
Z28,C,M,0,0,0.016806723,0.023647476,0.023126606,0,0.002257101,0,0,0.007847767,0,0.003541913,0.008368637,0,0.020973679,0.011146607,0.000555594,0,0.587193555
Z28,N,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06756393,0,0,0,0.857469717
Z28,R,M,0.013775639,0,0.003747784,0.012864016,0,0.000101291,0,0.002076475,0.00415295,0,0,0.017776652,0,0,0.060572297,0.00795138,0,0,0.788148898
Z29,A,F,0,0,0.02519307,0,0,0.624420789,0,0.072448341,0.00177416,0,0,0.034669171,0,0,0,0.079524108,0.016447506,0.01216865,0.015883949
Z29,C,F,0,0,0.0690001,0.000501454,0.011433156,0.00351018,0.001604653,0,0,0.618192759,0,0.027178819,0.003109016,0.00591716,0.001504363,0,0.020559623,0.037107612,0.004312506
Z29,N,F,0,0,0,0,0.018789379,0,0,0,0,0,0,0.004725473,0,0,0,0.088546355,0.135688569,0,0.54230423
Z29,R,F,0,0,0.059528818,0,0.075094657,0,0,0.031973075,0,0.146403029,0.068363483,0,0,0.039966344,0.001262095,0.220866639,0,0.070046277,0.006731174
Z32,A,M,0.041224769,0,0,0,0.022294446,0.021382142,0.304709773,0,0,0.0011974,0,0,0,0,0.007868628,0,0.236172882,0.065400844,0.082620595
Z32,C,M,0.00042269,0.006720771,0.005875391,0,0.001310339,0,0,0.001141263,0.000803111,0,0,0,0.0380421,0,0.058922986,0.012046665,0.023163412,0.358018429,0.414278468
