index,sex,Bacteroidota,Unassigned,Firmicutes,Actinobacteriota,Proteobacteria,Unassigned Bacteria
Z1-A,M,0.000909401,0.104808457,0.142434921,0.103558031,0.148687052,0.483687621
Z1-C,M,0.001851362,0,0.258000529,0.021555144,0.256942608,0.450409944
Z1-N,M,0.036612526,0.056765712,0.068173176,0.019121082,0.069585529,0.749741974
Z1-R,M,0.002461841,0.0362301,0.07898408,0.136427047,0.259231905,0.485639258
Z11-A,M,0.043399638,0,0.019891501,0.027124774,0.264014467,0.64556962
Z11-C,M,0,0.002674189,0.000439593,0.003058832,0.987764671,0.006062715
Z11-N,M,0.000519615,0.006105482,0.011041829,0.005404001,0.954767472,0.021278254
Z11-R,M,0.0170331,0.010872191,0.099027543,0.093953854,0.620711525,0.150851655
Z13-A,M,0.005353674,0.057326953,0.042876771,0.201070735,0.062917516,0.627706448
Z13-C,M,0.010222222,0.040222222,0,0.331555556,0.14562963,0.47237037
Z13-N,M,0.007664793,0,0,0.290240164,0.015840572,0.686254471
Z18-A,M,0,0.026664421,0.074716515,0.014090042,0.137307735,0.746828337
Z18-C,M,0,0.014460586,0.081719128,0.066518698,0.089790153,0.747511434
Z18-R,M,0,0.079992308,0.038842419,0.062205557,0.017882896,0.80107682
Z23-C,F,0,0.024383984,0.034137577,0.700718686,0,0.239989733
Z23-N,F,0.024594295,0.021973591,0.212176192,0.008920472,0.355508517,0.370728757
Z23-R,F,0,0.031236907,0.105860993,0.068851543,0.04138541,0.752525488
Z26-C,M,0,0.074773939,0.181776026,0.125086946,0.168676096,0.449686993
Z26-N,M,0.011189381,0.018952463,0.279686601,0.243243243,0.172033736,0.269168104
Z26-R,M,0.003169014,0.032042254,0.161619718,0.093661972,0.054577465,0.654929577
Z28-A,M,0,0.019594745,0.093253173,0.27837898,0.165085727,0.437274549
Z28-C,M,0.000277797,0.020973679,0.298492951,0.032502257,0.060559761,0.587193555
Z28-N,M,0,0.06756393,0.071332436,0,0,0.857469717
Z28-R,M,0.000759686,0.060572297,0.06254748,0.048873132,0.039098506,0.788148898
Z29-A,F,0.00709664,0,0.110311,0.08672511,0.748111042,0.015883949
