"","index","Unassigned.__","d__Bacteria.__","d__Bacteria.p__Acidobacteriota","d__Bacteria.p__Actinobacteriota","d__Bacteria.p__Bacteroidota","d__Bacteria.p__Bdellovibrionota","d__Bacteria.p__Campilobacterota","d__Bacteria.p__Chloroflexi","d__Bacteria.p__Cyanobacteria","d__Bacteria.p__Deinococcota","d__Bacteria.p__Elusimicrobiota","d__Bacteria.p__Fibrobacterota","d__Bacteria.p__Firmicutes","d__Bacteria.p__Fusobacteriota","d__Bacteria.p__Latescibacterota","d__Bacteria.p__Myxococcota","d__Bacteria.p__Patescibacteria","d__Bacteria.p__Planctomycetota","d__Bacteria.p__Proteobacteria","d__Bacteria.p__Spirochaetota","d__Bacteria.p__Verrucomicrobiota","d__Bacteria.p__Zixibacteria","d__Eukaryota.__","d__Eukaryota.p__Basidiomycota"
"1","Z1-A",0.104808457428669,0.483687620779811,0,0.103558031146982,0.000909400932135955,0,0.00341025349550983,0,0.00625213140843469,0,0,0,0.142434920995794,0,0,0,0,0,0.148687052404229,0,0,0,0,0.00625213140843469
"2","Z1-C",0,0.450409944459138,0,0.0215551441417614,0.00185136207352552,0,0,0,0,0,0,0,0.258000528960592,0,0,0,0,0,0.256942607775721,0,0,0.0112404125892621,0,0
"3","Z1-N",0.0567657124232712,0.74974197403444,0,0.0191210820794177,0.0366125264816123,0,0,0,0,0,0,0,0.0681731761638329,0,0,0,0,0,0.0695855288174263,0,0,0,0,0
"4","Z1-R",0.0362301001148859,0.485639258165108,0,0.136427047431479,0.00246184145741014,0,0,0,0,0,0,0,0.0789840800919087,0,0,0,0,0,0.259231905465288,0,0,0,0,0.00102576727392089
"5","Z11-A",0,0.645569620253165,0,0.027124773960217,0.0433996383363472,0,0,0,0,0,0,0,0.0198915009041591,0,0,0,0,0,0.264014466546112,0,0,0,0,0
"6","Z11-C",0.00267418858524434,0.00606271521723203,0,0.00305883214887538,0,0,0,0,0,0,0,0,0.000439592644149755,0,0,0,0,0,0.987764671404499,0,0,0,0,0
"7","Z11-N",0.00610548194336191,0.0212782540919719,0,0.00540400103923097,0.000519615484541439,0.000519615484541439,0,0,0.00025980774227072,0,0,0,0.0110418290465056,0,0,0,0.000103923096908288,0,0.954767472070668,0,0,0,0,0
"8","Z11-R",0.0108721913505678,0.150851654989128,0,0.0939538535878231,0.0170330997825562,0,0,0,0.000634211162116453,0,0,0,0.0990275428847548,0.00380526697269872,0,0,0,0,0.620711524522832,0,0.00311065474752356,0,0,0
"9","Z13-A",0.0573269531435069,0.627706448097787,0,0.201070734827308,0.00535367413654238,0,0,0,0,0,0,0,0.0428767707395651,0,0,0,0,0,0.0629175155161795,0,0.00274790353911025,0,0,0
"10","Z13-C",0.0402222222222222,0.47237037037037,0,0.331555555555556,0.0102222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14562962962963,0,0,0,0,0
"11","Z13-N",0,0.68625447112928,0,0.290240163515585,0.00766479305058763,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158405723045478,0,0,0,0,0
"12","Z18-A",0.02666442124172,0.746828337262827,0,0.0140900415403615,0,0,0,0,0,0,0,0,0.0747165151004828,0,0,0,0,0,0.137307735488941,0,0,0,0,0.000392949365667453
"13","Z18-C",0.0144605864944848,0.747511433952112,0,0.0665186978746301,0,0,0,0,0,0,0,0,0.0817191283292978,0,0,0,0,0,0.0897901533494754,0,0,0,0,0
"14","Z18-R",0.0799923084318816,0.801076819536583,0,0.0622055571579656,0,0,0,0,0,0,0,0,0.0388424189981733,0,0,0,0,0,0.0178828958753966,0,0,0,0,0
"15","Z23-C",0.0243839835728953,0.239989733059548,0,0.700718685831622,0,0,0,0,0,0,0,0,0.0341375770020534,0,0,0,0.000770020533880904,0,0,0,0,0,0,0
