#OTU ID,Bird,day_group,treatment,order,cort,AMaverage_food,PMaverage_food,averageFood_perDay,AMtotal_food,PMtotal_food,wholeDay_totalFood,sex,Fat (at end),q0,q1,q2
Z1-A,Z1,2,A,CNR,0.936,3.38,3.5,6.88,27,28,55,M,5,38,22.82197123,17.67969134
Z1-C,Z1,2,C,CNR,3.547,3.4,6.6,10,17,33,50,M,5,25,11.7439988,8.58808928
Z1-N,Z1,2,N,CNR,3.415,5.4,4.6,10,27,23,50,M,5,45,16.74532609,11.82840549
Z1-R,Z1,2,R,CNR,1.238,3.5,5,8.5,21,25,46,M,5,51,21.30752607,15.4830885
Z11-C,Z11,1,C,CNR,0.936,4.8,4.8,9.6,24,24,48,M,5,22,3.865567664,3.019544675
Z11-N,Z11,1,N,CNR,1.278,4.6,4.6,9.2,23,23,46,M,5,54,6.280351879,4.131068199
Z11-R,Z11,1,R,CNR,0.936,3,4.2,7.2,15,21,36,M,5,62,16.80997739,8.384587473
Z13-A,Z13,2,A,CNR,7.193,3.25,5.25,8.5,26,42,68,M,0,42,14.54978295,10.6423541
Z13-C,Z13,2,C,CNR,6.943,6.6,6.75,13.35,33,27,60,M,0,21,12.28908124,9.931094281
Z13-N,Z13,2,N,CNR,10.807,5.8,7,12.8,29,21,50,M,0,10,7.773232249,6.542198846
Z18-A,Z18,2,A,NRC,0.936,2.25,3.13,5.38,18,25,43,M,5,31,14.30109002,11.41756681
Z18-C,Z18,2,C,NRC,1.94,4.6,3.4,8,23,23,46,M,5,18,11.60261757,10.51889126
Z18-R,Z18,2,R,NRC,3.374,4.6,2.67,7.27,23,17,40,M,5,33,13.86589714,10.75825987
Z23-C,Z23,1,C,CNR,4.112,2.8,4,6.8,14,20,34,F,3,13,3.618967719,2.009293243
Z23-N,Z23,1,N,CNR,8.227,2.2,3,5.2,11,15,26,F,3,48,18.3001626,12.20897874
Z23-R,Z23,1,R,CNR,7.973,0.67,3.6,4.27,4,18,22,F,3,43,15.8959096,11.60170123
