Bird,day_group,treatment,sex,order,cort,AMaverage_food,PMaverage_food,averageFood_perDay,AMtotal_food,PMtotal_food,wholeDay_totalFood
Z1,2,C,M,CNR,3.547,3.4,6.6,10,17,33,50
Z1,2,N,M,CNR,3.415,5.4,4.6,10,27,23,50
Z11,1,C,M,CNR,0.936,4.8,4.8,9.6,24,24,48
Z11,1,N,M,CNR,1.278,4.6,4.6,9.2,23,23,46
Z13,2,C,M,CNR,6.943,6.6,6.75,13.35,33,27,60
Z13,2,N,M,CNR,10.807,5.8,7,12.8,29,21,50
Z18,2,C,M,NRC,1.94,4.6,3.4,8,23,23,46
Z23,1,C,F,CNR,4.112,2.8,4,6.8,14,20,34
Z23,1,N,F,CNR,8.227,2.2,3,5.2,11,15,26
Z26,2,C,M,CNR,0.936,3.25,5.6,8.85,13,28,41
Z26,2,N,M,CNR,3.194,5,3.8,8.8,20,19,39
Z28,1,C,M,NRC,6.409,1.2,3.6,4.8,9,17,26
Z28,1,N,M,NRC,0.936,1.5,3.4,4.9,11,12,23
Z29,1,C,F,NRC,1.027,1.4,5.6,7,11,28,39
Z29,1,N,F,NRC,0.936,1.83,5.6,7.43,11,18,29
Z32,2,C,M,CNR,11.145,2.17,4,3,13,20,33
Z32,2,N,M,CNR,61.271,2.8,3.67,3.125,14,11,25
Z36,1,C,F,CNR,3.38,3.8,3.8,7.6,19,19,38
Z36,1,N,F,CNR,3.862,2,4.4,6.4,10,22,32
Z39,2,N,F,NRC,7.048,2.83,4,6.83,15,12,27
Z4,1,C,F,CNR,4.336,3.4,5,8.4,17,25,42
Z4,1,N,F,CNR,9.899,2.8,3,5.8,14,15,29
Z40,1,C,M,NRC,7.085,0.83,4.6,2.55,5,23,28
Z40,1,N,M,NRC,,2.2,3.2,2.7,11,16,27
Z43,1,C,M,NRC,0.901,2.5,4.33,6.83,5,27,32
Z43,1,N,M,NRC,0.988,1,6.75,7.75,11,21,32
Z44,1,C,M,CNR,0.936,3.2,4.4,7.6,16,22,38
Z44,1,N,M,CNR,1.423,3.2,4,7.2,16,16,32
Z45,1,C,M,CNR,15.552,2,3.2,5.2,10,16,26
Z45,1,N,M,CNR,5.823,3.2,2.2,5.4,16,11,27
Z46,2,C,F,NRC,1.066,1.4,4.8,6.2,7,26,33
Z46,2,N,F,NRC,1.141,1.17,5.2,6.37,9,11,20
Z5,1,C,M,NRC,11.539,2.8,5,7.8,12,33,45
Z5,1,N,M,NRC,4.727,2,6.6,8.6,22,23,45
Z6,2,C,M,CNR,7.895,3.8,3,6.8,19,12,31
Z6,2,N,M,CNR,9.284,3.6,4.2,7.8,18,21,39
